Group,DISTRICT,DistName,cntyname,RegnName,REGION,Math,Reading,Writing,Total,Above_Crit_Rate,Exnees_Mskd,Crit_Mskd,Part_Rate,Grads_Mskd
All Students,40901,Morton ISD,Cochran County,Lubbock,17,,,,,,<5,<5,,30
All Students,40902,Whiteface CISD,Cochran County,Lubbock,17,471,457,470,929,,7,<5,28,25
All Students,41902,Robert Lee ISD,Coke County,San Angelo,15,,,,,,<5,<5,,19
All Students,42901,Coleman ISD,Coleman County,San Angelo,15,,,,,,<5,<5,,59
All Students,42903,Santa Anna ISD,Coleman County,San Angelo,15,461,467,446,928,,9,<5,56.3,16
All Students,42905,Panther Creek CISD,Coleman County,San Angelo,15,,,,,,<5,<5,,6
All Students,42906,Novice ISD,Coleman County,San Angelo,15,,,,,,<5,<5,,<10
All Students,43901,Allen ISD,Collin County,Richardson,10,565,531,507,1096,47.7,840,401,76.2,"1,102"
All Students,43902,Anna ISD,Collin County,Richardson,10,478,475,468,953,17.6,51,9,42.1,121
All Students,43903,Celina ISD,Collin County,Richardson,10,525,505,492,1030,30.2,43,13,42.6,101
All Students,43904,Farmersville ISD,Collin County,Richardson,10,468,458,451,926,19.6,46,9,56.8,81
All Students,43905,Frisco ISD,Collin County,Richardson,10,541,521,502,1062,39.3,"1,122",441,68.7,"1,633"
All Students,43907,McKinney ISD,Collin County,Richardson,10,537,515,497,1051,37.6,998,375,74.9,"1,332"
All Students,43908,Melissa ISD,Collin County,Richardson,10,517,476,456,993,20.5,44,9,54.3,81
All Students,43910,Plano ISD,Collin County,Richardson,10,590,552,535,1142,55.8,"2,622","1,462",78.4,"3,344"
All Students,43911,Princeton ISD,Collin County,Richardson,10,482,461,461,943,16.1,93,15,55,169
All Students,43912,Prosper ISD,Collin County,Richardson,10,546,510,482,1056,39.2,125,49,64.8,193
All Students,43914,Wylie ISD,Collin County,Richardson,10,516,485,460,1001,27.2,383,104,56.3,680
All Students,43917,Blue Ridge ISD,Collin County,Richardson,10,561,484,480,1046,,7,<5,30.4,23
All Students,43918,Community ISD,Collin County,Richardson,10,467,481,462,948,16.7,36,6,42.9,84
All Students,43919,Lovejoy ISD,Collin County,Richardson,10,562,534,513,1096,46.3,205,95,93.2,220
All Students,44902,Wellington ISD,Collingsworth Coun,Amarillo,16,,,,,,<5,<5,,36
All Students,45902,Columbus ISD,Colorado County,Victoria,3,498,459,426,956,20,80,16,74.8,107
All Students,45903,Rice CISD,Colorado County,Victoria,3,523,429,461,951,,8,<5,14.3,56
All Students,45905,Weimar ISD,Colorado County,Victoria,3,463,431,405,894,16.7,36,6,72,50
All Students,46901,New Braunfels ISD,Comal County,Austin,13,507,492,474,999,28,332,93,64.2,517
All Students,46902,Comal ISD,Comal County,Austin,13,508,487,463,995,24.8,824,204,77.4,"1,064"
All Students,47901,Comanche ISD,Comanche County,Abilene,14,490,464,455,954,15.3,59,9,80.8,73
All Students,47902,De Leon ISD,Comanche County,Abilene,14,508,464,437,973,,19,<5,40.4,47
All Students,47903,Gustine ISD,Comanche County,Abilene,14,398,430,383,828,,<5,<5,,12
All Students,47905,Sidney ISD,Comanche County,Abilene,14,427,437,390,863,,<5,<5,,7
All Students,48901,Eden CISD,Concho County,San Angelo,15,,,,,,<5,<5,,18
All Students,49901,Gainesville ISD,Cooke County,Fort Worth,11,486,477,448,963,18.2,44,8,37,119
All Students,49902,Muenster ISD,Cooke County,Fort Worth,11,524,491,487,1015,25,24,6,96,25
All Students,49903,Valley View ISD,Cooke County,Fort Worth,11,504,476,449,980,22.7,22,5,66.7,33
All Students,49905,Callisburg ISD,Cooke County,Fort Worth,11,478,435,425,914,,39,<10,55.7,70
