Group,District,DistName,County,CntyName,Region,RegnName,ERW,Math,Total,Grads_Mskd,Exnees_Mskd,Part_Rate,Crit_Mskd,Above_Crit_Rate
All Students,028906,Prairie Lea ISD,028,Caldwell County,13,Austin,495,506,1001,<25,<25,100,<25,8.3
All Students,029901,Calhoun County ISD,029,Calhoun County,03,Victoria,504,511,1014,<325,<125,33.4,<25,13.3
All Students,030902,Clyde CISD,030,Callahan County,14,Abilene,529,534,1063,<100,<25,23.9,<25,19.0
All Students,030903,Baird ISD,030,Callahan County,14,Abilene,450,420,870,<25,<25,21.4,<25,
All Students,030906,Eula ISD,030,Callahan County,14,Abilene,533,537,1070,<50,<25,12.0,<25,33.3
All Students,031505,University Of Texas Rio Grande Val,031,Cameron County,01,Edinburg,591,575,1167,<25,<50,,<25,41.9
All Students,031901,Brownsville ISD,031,Cameron County,01,Edinburg,481,470,951,3096,2053,66.3,145,7.1
All Students,031903,Harlingen CISD,031,Cameron County,01,Edinburg,500,485,986,1300,722,55.5,77,10.7
All Students,031905,La Feria ISD,031,Cameron County,01,Edinburg,517,493,1009,233,75,32.2,7,9.3
All Students,031906,Los Fresnos CISD,031,Cameron County,01,Edinburg,486,490,976,752,511,68.0,48,9.4
All Students,031909,Point Isabel ISD,031,Cameron County,01,Edinburg,482,478,960,<150,<100,56.0,<25,9.3
All Students,031911,Rio Hondo ISD,031,Cameron County,01,Edinburg,455,452,907,136,108,79.4,5,4.6
All Students,031912,San Benito CISD,031,Cameron County,01,Edinburg,479,480,960,741,323,43.6,31,9.6
All Students,031913,Santa Maria ISD,031,Cameron County,01,Edinburg,437,437,874,<75,<50,75.9,<25,
All Students,031914,Santa Rosa ISD,031,Cameron County,01,Edinburg,481,478,959,<100,<50,28.7,<25,3.7
All Students,031916,South Texas ISD,031,Cameron County,01,Edinburg,560,553,1113,574,503,87.6,168,33.4
All Students,032902,Pittsburg ISD,032,Camp County,08,Mt Pleasant,506,486,992,178,56,31.5,10,17.9
All Students,033902,Panhandle ISD,033,Carson County,16,Amarillo,517,433,950,<50,<25,6.3,<25,
All Students,034901,Atlanta ISD,034,Cass County,08,Mt Pleasant,548,505,1053,<150,<25,3.1,<25,25.0
All Students,034903,Hughes Springs ISD,034,Cass County,08,Mt Pleasant,,,,<75,<25,1.4,<25,
All Students,034905,Linden-Kildare CISD,034,Cass County,08,Mt Pleasant,,,,<50,<25,2.7,<25,
All Students,034907,Queen City ISD,034,Cass County,08,Mt Pleasant,644,604,1248,<100,<25,6.6,<25,80.0
All Students,034909,Bloomburg ISD,034,Cass County,08,Mt Pleasant,515,510,1025,<50,<25,7.1,<25,
All Students,035901,Dimmitt ISD,035,Castro County,16,Amarillo,532,532,1064,<100,<25,6.5,<25,
All Students,035903,Nazareth ISD,035,Castro County,16,Amarillo,,,,<25,<25,6.7,<25,
All Students,036901,Anahuac ISD,036,Chambers County,04,Houston,508,500,1008,<100,<50,47.7,<25,9.8
All Students,036902,Barbers Hill ISD,036,Chambers County,04,Houston,551,544,1094,344,136,39.5,37,27.2
All Students,036903,East Chambers ISD,036,Chambers County,05,Beaumont,511,506,1018,<100,<50,35.4,<25,10.7
All Students,037901,Alto ISD,037,Cherokee County,07,Kilgore,473,436,909,<50,<25,44.4,<25,10.0
All Students,037904,Jacksonville ISD,037,Cherokee County,07,Kilgore,562,533,1094,<300,<25,4.3,<25,25.0
All Students,037907,Rusk ISD,037,Cherokee County,07,Kilgore,522,495,1017,<150,<25,16.8,<25,4.5
