Group,District,DistName,County,CntyName,Region,RegnName,Students_Mskd,Exnees_Mskd,Part_Rate,Exnees_Crit_Mskd,Exnees_Above_Crit_Rate,Exams_Mskd,Exams_Crit_Mskd,Exams_Above_Crit_Rate
All Students,057904,Cedar Hill ISD,057,Dallas County,10,Richardson,1223,177,14.5,29,16.4,304,40,13.2
All Students,057905,Dallas ISD,057,Dallas County,10,Richardson,<16925,<6775,39.9,<2050,30.2,16910,4174,24.7
All Students,057906,Desoto ISD,057,Dallas County,10,Richardson,1480,224,15.1,37,16.5,344,47,13.7
All Students,057907,Duncanville ISD,057,Dallas County,10,Richardson,1924,175,9.1,63,36.0,302,91,30.1
All Students,057909,Garland ISD,057,Dallas County,10,Richardson,8367,3006,35.9,1124,37.4,7915,2146,27.1
All Students,057910,Grand Prairie ISD,057,Dallas County,10,Richardson,3712,1107,29.8,266,24.0,2298,444,19.3
All Students,057911,Highland Park ISD,057,Dallas County,10,Richardson,1034,806,77.9,627,77.8,2575,1957,76.0
All Students,057912,Irving ISD,057,Dallas County,10,Richardson,4479,1599,35.7,548,34.3,3402,907,26.7
All Students,057913,Lancaster ISD,057,Dallas County,10,Richardson,875,226,25.8,12,5.3,<450,<25,3.5
All Students,057914,Mesquite ISD,057,Dallas County,10,Richardson,5447,1301,23.9,525,40.4,2927,878,30.0
All Students,057916,Richardson ISD,057,Dallas County,10,Richardson,4404,1816,41.2,1082,59.6,4471,2459,55.0
All Students,057922,Coppell ISD,057,Dallas County,10,Richardson,<1775,<800,45.1,<675,84.7,1987,1629,82.0
All Students,058906,Lamesa ISD,058,Dawson County,17,Lubbock,<250,<25,0.4,<25,,<25,<25,
All Students,059901,Hereford ISD,059,Deaf Smith County,16,Amarillo,<550,<25,0.7,<25,75.0,<25,<25,75.0
All Students,061501,University Of North Texas,061,Denton County,11,Fort Worth,<25,<25,,<25,75.0,<25,<25,60.0
All Students,061901,Denton ISD,061,Denton County,11,Fort Worth,3343,741,22.2,407,54.9,<1475,<725,49.4
All Students,061902,Lewisville ISD,061,Denton County,11,Fort Worth,8233,2455,29.8,1943,79.1,5824,4380,75.2
All Students,061903,Pilot Point ISD,061,Denton County,11,Fort Worth,<225,<25,8.9,<25,10.5,<25,<25,10.5
All Students,061905,Krum ISD,061,Denton County,11,Fort Worth,272,78,28.7,39,50.0,124,50,40.3
All Students,061906,Ponder ISD,061,Denton County,11,Fort Worth,<200,<25,2.2,<25,100,<25,<25,100
All Students,061907,Aubrey ISD,061,Denton County,11,Fort Worth,281,29,10.3,20,69.0,37,26,70.3
All Students,061908,Sanger ISD,061,Denton County,11,Fort Worth,375,53,14.1,20,37.7,55,20,36.4
All Students,061910,Argyle ISD,061,Denton County,11,Fort Worth,364,46,12.6,36,78.3,102,82,80.4
All Students,061911,Northwest ISD,061,Denton County,11,Fort Worth,2637,1079,40.9,647,60.0,3034,1542,50.8
All Students,061912,Lake Dallas ISD,061,Denton County,11,Fort Worth,643,97,15.1,58,59.8,169,95,56.2
All Students,061914,Little Elm ISD,061,Denton County,11,Fort Worth,795,174,21.9,101,58.0,394,213,54.1
All Students,062901,Cuero ISD,062,DeWitt County,03,Victoria,<275,<50,11.2,<25,3.3,<50,<25,2.9
All Students,065902,Hedley ISD,065,Donley County,16,Amarillo,<25,<25,4.3,<25,100,<25,<25,100
All Students,066902,San Diego ISD,066,Duval County,02,Corpus Christi,<200,<25,6.3,<25,63.6,11,7,63.6
All Students,068901,Ector County ISD,068,Ector County,18,Midland,3353,887,26.5,174,19.6,1614,250,15.5
