Group,District,DistName,cntyname,RegnName,REGION,Exnees_Above_Crit_Rate,Part_Rate,Students_Mskd,Exnees_Mskd,Exnees_Crit_Mskd,Exams_Mskd,Exams_Crit_Mskd,Exams_Above_Crit_Rate
All students,165902,Greenwood ISD,Midland County,Midland,18,,3.2,247,8,<5,9,<5,
All students,166901,Cameron ISD,Milam County,Huntsville,06,,5.9,185,11,<5,11,<5,
All students,166904,Rockdale ISD,Milam County,Huntsville,06,36.8,9,211,19,7,22,7,31.8
All students,166905,Thorndale ISD,Milam County,Austin,13,65,20.4,98,20,13,38,<30,
All students,167901,Goldthwaite ISD,Mills County,Waco,12,,,92,<5,<5,6,<5,
All students,169901,Bowie ISD,Montague County,Wichita Falls,09,,2.3,215,5,<5,6,5,83.3
All students,169902,Nocona ISD,Montague County,Wichita Falls,09,,,109,<5,<5,<5,<5,
All students,170902,Conroe ISD,Montgomery County,Huntsville,06,67.9,31.3,6740,2112,1434,5397,3328,61.7
All students,170903,Montgomery ISD,Montgomery County,Huntsville,06,78,14,946,132,103,292,193,66.1
All students,170904,Willis ISD,Montgomery County,Huntsville,06,37.9,8,828,66,25,116,33,28.4
All students,170906,Magnolia ISD,Montgomery County,Huntsville,06,71,14.6,1648,241,171,385,249,64.7
All students,170908,New Caney ISD,Montgomery County,Huntsville,06,18.6,26.6,1212,322,60,707,73,10.3
All students,171901,Dumas ISD,Moore County,Amarillo,16,14.5,14.8,512,76,11,92,14,15.2
All students,172902,Daingerfield-Lone Star ISD,Morris County,Mt Pleasant,08,,4.1,171,7,<5,9,<5,
All students,172905,Pewitt CISD,Morris County,Mt Pleasant,08,,,144,<5,<5,7,<5,
All students,174902,Cushing ISD,Nacogdoches County,Kilgore,07,21.2,35.9,92,33,7,49,7,14.3
All students,174904,Nacogdoches ISD,Nacogdoches County,Kilgore,07,40.5,14.9,811,121,49,177,67,37.9
All students,175903,Corsicana ISD,Navarro County,Waco,12,36.8,17.2,663,114,42,199,71,35.7
All students,175904,Dawson ISD,Navarro County,Waco,12,,,62,<5,<5,<5,<5,
All students,176902,Newton ISD,Newton County,Beaumont,05,,,140,<5,<5,<5,<5,
All students,177902,Sweetwater ISD,Nolan County,Abilene,14,,4.1,241,10,<10,10,6,60
All students,177905,Highland ISD,Nolan County,Abilene,14,,,26,<5,<5,<5,<5,
All students,178804,Richard Milburn Alter High School,Nueces County,Corpus Christi,02,,12.1,124,15,<5,15,<5,
All students,178901,Agua Dulce ISD,Nueces County,Corpus Christi,02,,16.7,48,8,<5,8,<5,
All students,178902,Bishop CISD,Nueces County,Corpus Christi,02,,12.8,172,22,<5,31,<5,
All students,178903,Calallen ISD,Nueces County,Corpus Christi,02,64.9,16.9,574,97,63,192,105,54.7
