DistName,RegnName,SAT-Total,SAT-Part_Rate,Year
Carrollton-Farmers Branch ISD,Richardson,999.0,59.6,2012
Cedar Hill ISD,Richardson,906.0,52.3,2012
Dallas ISD,Richardson,863.0,64.8,2012
Desoto ISD,Richardson,868.0,56.6,2012
Duncanville ISD,Richardson,902.0,40.1,2012
Garland ISD,Richardson,972.0,51.0,2012
Grand Prairie ISD,Richardson,936.0,41.9,2012
Highland Park ISD,Richardson,1213.0,85.7,2012
Irving ISD,Richardson,861.0,78.6,2012
Lancaster ISD,Richardson,818.0,56.6,2012
Mesquite ISD,Richardson,916.0,50.4,2012
Richardson ISD,Richardson,1032.0,66.8,2012
Sunnyvale ISD,Richardson,1001.0,82.0,2012
Coppell ISD,Richardson,1150.0,83.7,2012
Denton ISD,Fort Worth,999.0,55.2,2012
Lewisville ISD,Fort Worth,1088.0,68.3,2012
Pilot Point ISD,Fort Worth,974.0,61.5,2012
Krum ISD,Fort Worth,1065.0,50.0,2012
Ponder ISD,Fort Worth,987.0,54.3,2012
Aubrey ISD,Fort Worth,1004.0,53.3,2012
Sanger ISD,Fort Worth,996.0,39.4,2012
Argyle ISD,Fort Worth,1079.0,80.2,2012
Northwest ISD,Fort Worth,1005.0,67.5,2012
Lake Dallas ISD,Fort Worth,1000.0,59.2,2012
Little Elm ISD,Fort Worth,918.0,54.0,2012
Avalon ISD,Richardson,864.0,42.1,2012
Ennis ISD,Richardson,953.0,24.4,2012
Ferris ISD,Richardson,886.0,55.4,2012
Italy ISD,Richardson,843.0,50.0,2012
Midlothian ISD,Richardson,1034.0,43.8,2012
Palmer ISD,Richardson,955.0,55.6,2012
Red Oak ISD,Richardson,964.0,47.8,2012
Waxahachie ISD,Richardson,986.0,45.1,2012
Maypearl ISD,Richardson,893.0,51.4,2012
Dublin ISD,Fort Worth,908.0,52.8,2012
Huckabay ISD,Fort Worth,1020.0,56.3,2012
Lingleville ISD,Fort Worth,823.0,62.5,2012
Bonham ISD,Richardson,975.0,33.3,2012
Ector ISD,Richardson,901.0,31.8,2012
Honey Grove ISD,Richardson,,,2012
Leonard ISD,Richardson,1049.0,34.8,2012
Savoy ISD,Richardson,880.0,64.0,2012
Trenton ISD,Richardson,944.0,41.0,2012
Sam Rayburn ISD,Richardson,870.0,,2012
Flatonia ISD,Austin,971.0,48.4,2012
La Grange ISD,Austin,998.0,57.7,2012
Schulenburg ISD,Austin,987.0,52.0,2012
Fayetteville ISD,Austin,948.0,94.4,2012
Round Top-Carmine ISD,Austin,1008.0,75.0,2012
Needville ISD,Houston,997.0,40.4,2012
Fort Bend ISD,Houston,1021.0,79.4,2012
Dilley ISD,San Antonio,924.0,,2012
Pearsall ISD,San Antonio,905.0,6.2,2012
Dickinson ISD,Houston,940.0,39.6,2012
Galveston ISD,Houston,902.0,55.9,2012
La Marque ISD,Houston,846.0,46.7,2012
Texas City ISD,Houston,918.0,44.3,2012
Hitchcock ISD,Houston,834.0,30.8,2012
Santa Fe ISD,Houston,961.0,40.8,2012
Clear Creek ISD,Houston,1066.0,70.7,2012
Friendswood ISD,Houston,1102.0,77.7,2012
Fredericksburg ISD,Austin,1025.0,63.5,2012
Harper ISD,Austin,1028.0,39.6,2012
Gonzales ISD,Austin,904.0,35.9,2012
Waelder ISD,Austin,783.0,53.3,2012
Bells ISD,Richardson,1006.0,43.9,2012
Collinsville ISD,Richardson,1017.0,25.0,2012
Denison ISD,Richardson,1010.0,28.3,2012
Howe ISD,Richardson,1018.0,28.6,2012
Sherman ISD,Richardson,1075.0,26.2,2012
Van Alstyne ISD,Richardson,1003.0,63.7,2012
Whitesboro ISD,Richardson,974.0,11.3,2012
Whitewright ISD,Richardson,1019.0,41.2,2012
Pottsboro ISD,Richardson,982.0,41.0,2012
Gunter ISD,Richardson,1074.0,30.0,2012
Tom Bean ISD,Richardson,1005.0,32.2,2012
Seguin ISD,Austin,933.0,48.0,2012
Schertz-Cibolo-U City ISD,San Antonio,999.0,65.2,2012
Navarro ISD,Austin,983.0,74.3,2012
Marion ISD,Austin,993.0,60.5,2012
Aldine ISD,Houston,869.0,48.9,2012
Alief ISD,Houston,880.0,58.8,2012
Channelview ISD,Houston,872.0,47.4,2012
Crosby ISD,Houston,981.0,34.9,2012
Cypress-Fairbanks ISD,Houston,1020.0,61.6,2012
Deer Park ISD,Houston,1001.0,46.9,2012
North Forest ISD,Houston,750.0,48.0,2012
Galena Park ISD,Houston,875.0,29.9,2012
Houston ISD,Houston,848.0,97.6,2012
Humble ISD,Houston,1001.0,65.6,2012
Katy ISD,Houston,1068.0,71.7,2012
Klein ISD,Houston,1024.0,65.2,2012
La Porte ISD,Houston,970.0,50.0,2012
Pasadena ISD,Houston,896.0,47.0,2012
Spring ISD,Houston,866.0,58.6,2012
Spring Branch ISD,Houston,1051.0,73.5,2012
Tomball ISD,Houston,1031.0,61.1,2012
Sheldon ISD,Houston,841.0,52.5,2012
Huffman ISD,Houston,975.0,69.3,2012
Dripping Springs ISD,Austin,1109.0,85.7,2012
Wimberley ISD,Austin,1045.0,74.9,2012
Granbury ISD,Fort Worth,998.0,46.5,2012
Lipan ISD,Fort Worth,963.0,33.3,2012
Tolar ISD,Fort Worth,1012.0,38.9,2012
Caddo Mills ISD,Richardson,1054.0,42.9,2012
Celeste ISD,Richardson,1157.0,,2012
Commerce ISD,Richardson,947.0,35.1,2012
Greenville ISD,Richardson,989.0,38.8,2012
Lone Oak ISD,Richardson,968.0,44.6,2012
Quinlan ISD,Richardson,943.0,37.6,2012
Wolfe City ISD,Richardson,1070.0,15.4,2012
Campbell ISD,Richardson,,,2012
Bland ISD,Richardson,1012.0,45.0,2012
Boles ISD,Richardson,1019.0,,2012
Alvarado ISD,Fort Worth,896.0,39.9,2012
Burleson ISD,Fort Worth,1001.0,51.6,2012
Cleburne ISD,Fort Worth,984.0,44.3,2012
