DistName,RegnName,Year,ACT-Composite,ACT-Part_Rate,AP-11&12 Participating Students,AP-Total Exams,AP-Passed(%),AP-Exams Taken Per Student,Enrolled 4-Year,Total Graduated,Enrolled 4-Year (%),SAT-Total,SAT-Part_Rate,Wealth/ADA
CELINA ISD,Richardson,2017,22.7,69.9,109,146,58.9,1.339449541,42,163,25.76687117,1170,21.5,363462
CHANNELVIEW ISD,Houston,2011,17,11.4,159,278,41.4,1.748427673,53,491,10.79429735,898,42.1,286616
CHANNELVIEW ISD,Houston,2012,17.8,19.5,257,478,25.9,1.859922179,62,498,12.4497992,872,47.4,277548
CHANNELVIEW ISD,Houston,2013,17.7,19.5,288,616,21.6,2.138888889,59,481,12.26611227,897,41.8,271648
CHANNELVIEW ISD,Houston,2014,17.3,23,320,608,19.2,1.9,62,486,12.75720165,882,51.4,282106
CHANNELVIEW ISD,Houston,2015,17.7,24.1,276,539,23.4,1.952898551,86,498,17.26907631,896,50.8,303255
CHANNELVIEW ISD,Houston,2016,18.1,23.3,325,681,22,2.095384615,75,554,13.53790614,886,54,305450
CHANNELVIEW ISD,Houston,2017,18.6,18.9,295,574,21.1,1.945762712,69,609,11.33004926,977,50.6,304688
CLEAR CREEK ISD,Houston,2011,23.5,31.2,1504,3264,70.3,2.170212766,800,2671,29.95132909,1069,75.4,421864
CLEAR CREEK ISD,Houston,2012,23.5,32.4,1532,3264,70.9,2.130548303,737,2700,27.2962963,1066,70.7,412053
CLEAR CREEK ISD,Houston,2013,23.6,31.8,1634,3633,67.4,2.223378213,746,2797,26.67143368,1069,66.5,417074
CLEAR CREEK ISD,Houston,2014,24.1,36.4,1695,3831,72.3,2.260176991,875,2748,31.84133916,1079,68.3,417580
CLEAR CREEK ISD,Houston,2015,23.5,36.6,1665,3753,69.1,2.254054054,887,2981,29.75511573,1073,67.6,427252
CLEAR CREEK ISD,Houston,2016,23.4,38.5,1815,4188,66,2.307438017,823,2914,28.242965,1063,63,443525
CLEAR CREEK ISD,Houston,2017,23.7,34.7,1767,4435,66.1,2.509903792,947,3018,31.37839629,1138,65,476015
CLEBURNE ISD,Fort Worth,2011,22.2,17.7,94,120,35.8,1.276595745,55,389,14.13881748,990,41.4,529519
CLEBURNE ISD,Fort Worth,2012,22.3,13.9,113,166,31.9,1.469026549,76,418,18.18181818,984,44.3,474731
CLEBURNE ISD,Fort Worth,2013,21,14.8,99,193,35.8,1.949494949,62,405,15.30864198,959,44.4,472298
CLEBURNE ISD,Fort Worth,2014,21.7,14.5,165,340,34.1,2.060606061,71,394,18.02030457,955,48.2,459469
CLEBURNE ISD,Fort Worth,2015,20.5,17.7,165,367,37.1,2.224242424,52,361,14.40443213,941,44.9,435558
CLEBURNE ISD,Fort Worth,2016,19.6,11,169,351,34.2,2.076923077,63,437,14.41647597,932,40,405497
CLEBURNE ISD,Fort Worth,2017,20.2,11.9,175,351,35.3,2.005714286,47,396,11.86868687,1009,43.4,412297
COMAL ISD,Austin,2011,22.1,29.4,583,1235,47.1,2.118353345,336,1159,28.99050906,995,77.4,632631
COMAL ISD,Austin,2012,22,30.4,662,1399,41.9,2.113293051,295,1116,26.43369176,1002,66.8,601831
COMAL ISD,Austin,2013,22.3,34.2,696,1603,44.6,2.30316092,323,1232,26.21753247,1014,65.3,569987
COMAL ISD,Austin,2014,22.2,28.1,867,1965,43.6,2.266435986,379,1263,30.00791766,1013,63.9,565606
COMAL ISD,Austin,2015,22.4,28.7,891,2111,41.1,2.369248036,369,1380,26.73913043,1009,64.6,576218
COMAL ISD,Austin,2016,22.1,28.4,905,2091,49,2.310497238,369,1406,26.24466572,1010,63.4,607061
COMAL ISD,San Antonio,2017,22.6,35.6,946,2035,51.9,2.151162791,372,1490,24.96644295,1062,84.3,639769
COPPELL ISD,Richardson,2011,25.2,63.9,539,1062,71.1,1.970315399,249,727,34.25034388,1140,87.9,752664
COPPELL ISD,Richardson,2012,25.1,65.7,623,1326,73.2,2.128410915,208,778,26.73521851,1150,83.7,690284
COPPELL ISD,Richardson,2013,25.2,63.5,715,1686,69.4,2.358041958,252,781,32.26632522,1142,88.7,664460
COPPELL ISD,Richardson,2014,25.2,61.9,675,1737,64.5,2.573333333,297,827,35.91293833,1153,86.7,676785
COPPELL ISD,Richardson,2015,23.6,98.5,771,2037,78,2.642023346,299,853,35.05275498,1155,74.7,705142
COPPELL ISD,Richardson,2016,24.4,96.9,720,1987,82,2.759722222,262,896,29.24107143,1162,74.4,733972
COPPELL ISD,Richardson,2017,25.1,96.5,787.5,2183,80.2,2.772063492,312,895,34.8603352,1249,67.6,771171
CROSBY ISD,Houston,2011,18.6,32.4,104,206,40.8,1.980769231,54,321,16.82242991,972,46.2,260603
CROSBY ISD,Houston,2012,19.4,29.2,101,184,37.5,1.821782178,45,315,14.28571429,981,34.9,272000
CROSBY ISD,Houston,2013,19.4,25.4,84,170,43.5,2.023809524,50,335,14.92537313,984,35.5,263186
CROSBY ISD,Houston,2014,18.8,25.4,65,126,49.2,1.938461538,46,307,14.98371336,963,36.5,254001
CROSBY ISD,Houston,2015,18.6,23.7,95,182,28,1.915789474,53,321,16.51090343,949,39.6,249983
CROSBY ISD,Houston,2016,20.1,19.5,95,186,37.6,1.957894737,61,399,15.28822055,926,42.4,276356
CROSBY ISD,Houston,2017,20.1,13.8,107,190,47.9,1.775700935,69,356,19.38202247,958,89,289761
CROWLEY ISD,Fort Worth,2011,20.2,25.1,283,586,48.8,2.070671378,181,905,20,941,70.3,356715
CROWLEY ISD,Fort Worth,2012,19.9,22.9,290,528,46.2,1.820689655,190,910,20.87912088,928,66.2,332041
CROWLEY ISD,Fort Worth,2013,19,22.9,291,564,44.7,1.93814433,195,994,19.61770624,917,62.8,342343
CROWLEY ISD,Fort Worth,2014,18.6,27.5,524,1029,30.5,1.963740458,198,885,22.37288136,909,59.9,340057
CROWLEY ISD,Fort Worth,2015,19.3,26.4,499,1106,32.7,2.216432866,170,1003,16.94915254,898,56,347124
CROWLEY ISD,Fort Worth,2016,19,26.5,441,1139,33.9,2.58276644,207,1020,20.29411765,895,54.4,348992
CROWLEY ISD,Fort Worth,2017,18.3,26.3,427,947,27.3,2.217798595,156,1027,15.18987342,960,57.7,355396
CYPRESS-FAIRBANKS ISD,Houston,2011,21.5,28.3,2735,6181,60.4,2.259963437,1481,6310,23.47068146,1025,65.7,348189
CYPRESS-FAIRBANKS ISD,Houston,2012,21.6,28.2,2427,5342,65.9,2.201071281,1397,6419,21.76351457,1020,61.6,333118
CYPRESS-FAIRBANKS ISD,Houston,2013,21.9,28.2,2620,5896,64.2,2.250381679,1515,6982,21.69865368,1024,60,331245
CYPRESS-FAIRBANKS ISD,Houston,2014,21.9,31,2738,5907,64,2.157414171,1696,7161,23.68384304,1023,59.7,338826
CYPRESS-FAIRBANKS ISD,Houston,2015,22.1,34.8,3243,7100,60.8,2.189330866,1637,7479,21.88795293,1015,59.1,361435
CYPRESS-FAIRBANKS ISD,Houston,2016,19.2,95.4,3543,7869,61,2.220999153,1776,7804,22.75756023,1012,54.3,390500
CYPRESS-FAIRBANKS ISD,Houston,2017,19.5,92.5,3830,8451,61.3,2.206527415,1727,8072,21.39494549,1097,53.6,439280
DALLAS ISD,Richardson,2011,17.1,44.5,5619,13532,21.5,2.408257697,1118,7267,15.38461538,863,66,546939
DALLAS ISD,Richardson,2012,17.2,42.8,5569,12825,24.6,2.302926917,1247,7275,17.14089347,863,64.8,513227
DALLAS ISD,Richardson,2013,17.1,42.3,5515,13727,24.3,2.489029918,1214,7706,15.75395795,856,64.6,503354
DALLAS ISD,Richardson,2014,17.1,45.7,6030,17013,25,2.821393035,1222,7410,16.49122807,865,65.4,511155
DALLAS ISD,Richardson,2015,16.1,87.6,6648,17417,23.7,2.61988568,1253,7505,16.69553631,799,100,533092
DALLAS ISD,Richardson,2016,16.3,89.9,6097.5,16910,24.7,2.773267733,1264,7774,16.25932596,799,100,568872
DALLAS ISD,Richardson,2017,16.8,91.7,6933,17825,24.7,2.571037069,1446,7685,18.81587508,921,97.7,628461
DAYTON ISD,Houston,2011,19.7,13.4,64,122,29.5,1.90625,38,300,12.66666667,930,46.1,289938
DAYTON ISD,Houston,2012,18.7,8,38,66,40.9,1.736842105,38,348,10.91954023,927,37.9,287850
DAYTON ISD,Houston,2013,19.5,8.3,41,81,34.6,1.975609756,36,336,10.71428571,938,33.9,306917
DAYTON ISD,Houston,2014,18.3,8.9,47,75,25.3,1.595744681,37,314,11.78343949,938,38.5,307752
