DistName,RegnName,Year,ACT-Composite,ACT-Part_Rate,AP-11&12 Participating Students,AP-Total Exams,AP-Passed(%),AP-Exams Taken Per Student,Enrolled 4-Year,Total Graduated,Enrolled 4-Year (%),SAT-Total,SAT-Part_Rate,Wealth/ADA,Graduated 4-Year,Graduated 4-Year (%)
DECATUR ISD,Fort Worth,2012,21.1,62,37,87,72,2.4,33,205,16,994,26,805956,18,55
DECATUR ISD,Fort Worth,2013,21.3,43,50,100,48,2.0,33,186,18,1005,34,774948,17,52
DECATUR ISD,Fort Worth,2014,21.8,49,67,124,43,1.9,32,203,16,989,25,811515,15,47
DEER PARK ISD,Houston,2011,21.8,16,240,445,46,1.9,136,864,16,1002,45,615668,81,60
DEER PARK ISD,Houston,2012,21.6,17,219,417,54,1.9,118,855,14,1001,47,566381,73,62
DEER PARK ISD,Houston,2013,22,13,328,516,43,1.6,129,855,15,993,46,587969,55,43
DEER PARK ISD,Houston,2014,20.8,17,268,522,48,1.9,120,928,13,986,47,557202,72,60
DEL VALLE ISD,Austin,2011,18.7,32,334,602,24,1.8,81,612,13,876,49,324622,20,25
DEL VALLE ISD,Austin,2012,17.4,47,307,534,27,1.7,89,616,14,868,30,286558,12,13
DEL VALLE ISD,Austin,2013,17.8,41,348,600,19,1.7,74,611,12,866,36,280218,19,26
DEL VALLE ISD,Austin,2014,17.6,45,379,658,28,1.7,66,586,11,847,37,281184,12,18
DENISON ISD,Richardson,2011,21.3,42,123,289,50,2.3,32,319,10,1036,30,290422,14,44
DENISON ISD,Richardson,2012,21.7,44,119,291,53,2.4,21,290,7,1010,28,320449,7,33
DENISON ISD,Richardson,2013,21.7,41,101,268,50,2.7,32,282,11,1009,37,317733,14,44
DENISON ISD,Richardson,2014,21.5,30,117,269,45,2.3,26,282,9,1024,21,320630,13,50
DENTON ISD,Fort Worth,2011,21.2,38,725,1557,40,2.1,260,1259,21,1000,58,419495,75,29
DENTON ISD,Fort Worth,2012,20.7,30,565,1269,48,2.2,280,1229,23,999,55,399725,99,35
DENTON ISD,Fort Worth,2013,21,31,607,1272,48,2.1,292,1364,21,1001,53,398843,109,37
DENTON ISD,Fort Worth,2014,21.1,35,690,1493,47,2.2,320,1510,21,1003,56,405428,122,38
DESOTO ISD,Richardson,2011,17.1,47,241,426,10,1.8,148,524,28,855,74,253800,29,20
DESOTO ISD,Richardson,2012,18,44,200,357,13,1.8,168,603,28,868,57,247712,23,14
DESOTO ISD,Richardson,2013,17.2,35,115,189,12,1.6,131,563,23,851,57,245050,23,18
DESOTO ISD,Richardson,2014,17,35,101,175,20,1.7,156,711,22,846,56,229265,21,13
DICKINSON ISD,Houston,2011,19.2,11,70,142,29,2.0,65,509,13,934,42,279136,21,32
DICKINSON ISD,Houston,2012,18.6,15,87,141,23,1.6,85,556,15,940,40,271853,26,31
