DistName,RegnName,ACT-Composite,ACT-Part_Rate,Year,AP-11&12 Participating Students,AP-Total Exams,AP-Passed(%),AP-Exams Taken Per Student,Enrolled 4-Year,Total Graduated,Enrolled 4-Year (%),SAT-Total,SAT-Part_Rate,Wealth/ADA
BASTROP ISD,Austin,18.7,25.0,2016,347.0,758.0,26.5,2.18443804,129.0,721,17.89181692,1007.0,49.4,312909
BASTROP ISD,Austin,19.3,20.8,2017,353.0,818.0,31.5,2.317280453,132.0,679,19.44035346,1010.0,45.5,318106
BIRDVILLE ISD,Fort Worth,22.0,29.7,2011,909.0,2219.0,39.8,2.441144114,213.0,1446,14.73029046,1081.0,53.2,337577
BIRDVILLE ISD,Fort Worth,21.8,30.9,2012,944.0,2147.0,47.6,2.2743644069999998,203.0,1353,15.00369549,1067.0,47.8,309498
BIRDVILLE ISD,Fort Worth,21.4,34.1,2013,940.0,2154.0,43.8,2.291489362,269.0,1471,18.28687967,1066.0,46.1,305372
BIRDVILLE ISD,Fort Worth,21.4,34.7,2014,971.0,2258.0,49.0,2.325437693,264.0,1480,17.83783784,1076.0,43.9,311982
BIRDVILLE ISD,Fort Worth,21.5,35.3,2015,1082.0,2730.0,44.6,2.52310536,262.0,1552,16.8814433,1060.0,45.4,317725
BIRDVILLE ISD,Fort Worth,21.2,36.4,2016,1054.0,2602.0,44.4,2.468690702,254.0,1518,16.73254282,1055.0,48.2,322629
BIRDVILLE ISD,Fort Worth,21.4,35.6,2017,1069.0,2583.0,44.0,2.416276894,253.0,1484,17.04851752,1073.0,51.8,338349
BOERNE ISD,San Antonio,24.4,38.2,2011,427.0,1183.0,60.6,2.770491803,181.0,506,35.77075099,1152.0,83.5,692549
BOERNE ISD,San Antonio,24.4,49.3,2012,445.0,1139.0,66.9,2.559550562,144.0,525,27.42857143,1151.0,72.6,689003
BOERNE ISD,San Antonio,25.0,44.8,2013,441.0,1203.0,68.1,2.727891156,175.0,569,30.75571178,1155.0,76.3,674863
BOERNE ISD,San Antonio,24.3,46.2,2014,453.0,1155.0,66.4,2.549668874,179.0,558,32.07885305,1155.0,74.0,687364
BOERNE ISD,San Antonio,23.6,49.0,2015,500.0,1323.0,57.3,2.6460000000000004,155.0,557,27.82764811,1125.0,74.1,693152
BOERNE ISD,San Antonio,23.9,53.3,2016,557.0,1465.0,64.1,2.63016158,197.0,580,33.96551724,1132.0,77.6,683039
BOERNE ISD,San Antonio,24.0,53.5,2017,607.0,1579.0,62.1,2.601317957,206.0,654,31.49847095,1141.0,71.3,705406
BRAZOSPORT ISD,Houston,22.1,17.0,2011,240.0,508.0,58.1,2.116666667,129.0,874,14.7597254,1082.0,48.2,588257
BRAZOSPORT ISD,Houston,22.2,21.4,2012,211.0,434.0,66.4,2.0568720380000003,121.0,785,15.41401274,1091.0,40.3,553129
BRAZOSPORT ISD,Houston,21.7,23.6,2013,191.0,356.0,65.2,1.863874346,126.0,759,16.60079051,1097.0,43.2,544943
BRAZOSPORT ISD,Houston,22.0,18.9,2014,186.0,382.0,68.8,2.053763441,130.0,736,17.66304348,1063.0,43.6,553287
BRAZOSPORT ISD,Houston,22.5,16.6,2015,301.0,603.0,39.5,2.003322259,119.0,793,15.00630517,1062.0,40.9,586183
BRAZOSPORT ISD,Houston,19.6,57.4,2016,308.0,616.0,42.9,2.0,126.0,802,15.71072319,1069.0,31.9,588141
BRAZOSPORT ISD,Houston,19.9,57.9,2017,302.0,693.0,42.7,2.294701987,91.0,807,11.27633209,1078.0,23.2,689681
BURLESON ISD,Fort Worth,22.3,13.5,2011,174.0,366.0,55.7,2.103448276,100.0,636,15.72327044,1068.0,52.9,379208
BURLESON ISD,Fort Worth,21.2,21.6,2012,281.0,579.0,48.0,2.060498221,93.0,607,15.32125206,1070.0,51.6,351767
BURLESON ISD,Fort Worth,21.4,20.2,2013,386.0,844.0,35.0,2.186528497,99.0,683,14.49487555,1050.0,54.8,338552
BURLESON ISD,Fort Worth,21.7,23.3,2014,491.0,1083.0,39.1,2.205702648,138.0,725,19.03448276,1048.0,56.8,330044
BURLESON ISD,Fort Worth,22.1,19.5,2015,535.0,1188.0,36.4,2.220560748,114.0,752,15.15957447,1056.0,53.5,314727
BURLESON ISD,Fort Worth,21.1,26.0,2016,496.0,1141.0,42.9,2.300403226,139.0,784,17.72959184,1044.0,61.0,317675
BURLESON ISD,Fort Worth,21.5,24.9,2017,456.0,1144.0,46.1,2.50877193,145.0,853,16.99882767,1066.0,55.2,322091
CARROLL ISD,Fort Worth,25.7,81.6,2011,491.0,1240.0,83.9,2.525458248,130.0,565,23.00884956,1219.0,93.4,732585
CARROLL ISD,Fort Worth,26.1,77.3,2012,526.0,1362.0,84.1,2.589353612,172.0,669,25.71001495,1234.0,84.0,714518
CARROLL ISD,Fort Worth,26.0,78.6,2013,524.0,1345.0,86.3,2.5667938930000003,144.0,589,24.44821732,1239.0,78.3,724355
CARROLL ISD,Fort Worth,26.6,81.0,2014,633.0,1709.0,83.7,2.699842022,179.0,620,28.87096774,1244.0,81.9,725097
CARROLL ISD,Fort Worth,26.6,84.9,2015,685.0,1881.0,80.4,2.7459854010000004,188.0,661,28.44175492,1257.0,74.0,747542
CARROLL ISD,Fort Worth,26.8,84.3,2016,694.0,2031.0,82.6,2.926512968,175.0,617,28.363046999999998,1256.0,76.2,776489
CARROLL ISD,Fort Worth,27.1,84.6,2017,771.0,2123.0,83.0,2.7535667960000003,188.0,664,28.31325301,1261.0,70.2,803421
CARROLLTON-FARMERS BRANCH ISD,Richardson,21.6,27.5,2011,939.0,1871.0,53.3,1.9925452609999998,318.0,1568,20.28061224,1083.0,63.3,555508
CARROLLTON-FARMERS BRANCH ISD,Richardson,21.8,27.4,2012,937.0,1988.0,52.6,2.121664888,281.0,1617,17.37786024,1082.0,59.6,524292
CARROLLTON-FARMERS BRANCH ISD,Richardson,20.6,25.7,2013,1026.0,2162.0,47.9,2.107212476,285.0,1671,17.0556553,1068.0,56.5,520350
CARROLLTON-FARMERS BRANCH ISD,Richardson,21.0,25.4,2014,995.0,2234.0,49.0,2.245226131,326.0,1641,19.86593541,1084.0,56.6,528929
CARROLLTON-FARMERS BRANCH ISD,Richardson,21.1,23.8,2015,967.5,2250.0,42.3,2.325581395,303.0,1650,18.36363636,1063.0,57.8,553416
CARROLLTON-FARMERS BRANCH ISD,Richardson,20.4,26.4,2016,1035.0,2047.5,42.0,1.97826087,276.0,1608,17.164179100000002,1048.0,55.9,587818
CARROLLTON-FARMERS BRANCH ISD,Richardson,20.8,27.5,2017,877.5,1957.5,48.5,2.230769231,321.0,1597,20.10018785,1058.0,57.1,651220
CASTLEBERRY ISD,Fort Worth,19.6,14.8,2011,94.0,184.0,16.3,1.9574468090000001,35.0,172,20.34883721,983.0,60.5,144198
CASTLEBERRY ISD,Fort Worth,19.8,9.1,2012,86.0,154.0,12.3,1.790697674,23.0,164,14.02439024,1015.0,44.5,126550
CASTLEBERRY ISD,Fort Worth,19.6,4.6,2013,64.0,92.0,18.5,1.4375,19.0,174,10.91954023,984.0,41.4,124494
CASTLEBERRY ISD,Fort Worth,17.6,4.8,2014,71.0,114.0,14.9,1.6056338030000001,23.0,187,12.29946524,946.0,45.5,123049
CASTLEBERRY ISD,Fort Worth,19.0,7.4,2015,83.0,127.0,10.2,1.5301204819999998,23.0,188,12.23404255,969.0,38.3,121183
CASTLEBERRY ISD,Fort Worth,17.8,12.0,2016,93.0,153.0,5.2,1.64516129,28.0,200,14.0,932.0,48.5,119204
CASTLEBERRY ISD,Fort Worth,17.5,5.6,2017,142.0,236.0,4.2,1.661971831,14.0,214,6.542056075,950.0,44.4,118337
CELINA ISD,Richardson,22.6,97.0,2011,85.0,152.0,31.6,1.7882352940000001,28.0,115,24.34782609,1105.0,42.6,347996
CELINA ISD,Richardson,22.8,85.5,2012,82.0,138.0,59.4,1.6829268290000001,24.0,145,16.55172414,1157.0,23.4,331019
CELINA ISD,Richardson,22.2,75.0,2013,74.0,128.0,54.7,1.72972973,36.0,148,24.32432432,1090.0,11.5,330339
