DistName,RegnName,SAT-Total,SAT-Part_Rate,Year
GRANBURY ISD,Fort Worth,1065.0,46.5,2012
LIPAN ISD,Fort Worth,1029.0,33.3,2012
TOLAR ISD,Fort Worth,1087.0,38.9,2012
CADDO MILLS ISD,Richardson,1139.0,42.9,2012
COMMERCE ISD,Richardson,1012.0,35.1,2012
GREENVILLE ISD,Richardson,1062.0,38.8,2012
LONE OAK ISD,Richardson,1034.0,44.6,2012
QUINLAN ISD,Richardson,1029.0,37.6,2012
WOLFE CITY ISD,Richardson,1140.0,15.4,2012
BLAND ISD,Richardson,1090.0,45.0,2012
ALVARADO ISD,Fort Worth,972.0,39.9,2012
BURLESON ISD,Fort Worth,1070.0,51.6,2012
CLEBURNE ISD,Fort Worth,1050.0,44.3,2012
GRANDVIEW ISD,Fort Worth,1108.0,30.1,2012
JOSHUA ISD,Fort Worth,1051.0,53.3,2012
KEENE ISD,Fort Worth,962.0,54.2,2012
RIO VISTA ISD,Fort Worth,1011.0,53.8,2012
VENUS ISD,Fort Worth,1019.0,12.6,2012
GODLEY ISD,Fort Worth,1061.0,54.8,2012
CRANDALL ISD,Richardson,1081.0,42.4,2012
FORNEY ISD,Richardson,1018.0,61.5,2012
KAUFMAN ISD,Richardson,1010.0,45.2,2012
KEMP ISD,Richardson,1013.0,41.4,2012
MABANK ISD,Richardson,1017.0,34.0,2012
TERRELL ISD,Richardson,1008.0,33.2,2012
SCURRY-ROSSER ISD,Richardson,1074.0,44.1,2012
BOERNE ISD,San Antonio,1151.0,72.6,2012
COMFORT ISD,Austin,1048.0,65.1,2012
CENTER POINT ISD,San Antonio,998.0,60.0,2012
KERRVILLE ISD,San Antonio,1093.0,55.4,2012
INGRAM ISD,San Antonio,1054.0,64.3,2012
BRACKETT ISD,San Antonio,981.0,53.1,2012
COTULLA ISD,San Antonio,968.0,33.3,2012
GIDDINGS ISD,Austin,1006.0,772.7,2012
LEXINGTON ISD,Austin,994.0,56.1,2012
DIME BOX ISD,Austin,878.0,71.4,2012
CLEVELAND ISD,Houston,946.0,45.6,2012
DAYTON ISD,Houston,1000.0,37.9,2012
HARDIN ISD,Houston,982.0,75.0,2012
HULL-DAISETTA ISD,Houston,975.0,51.7,2012
LIBERTY ISD,Houston,1041.0,66.1,2012
TARKINGTON ISD,Houston,1087.0,30.4,2012
LLANO ISD,Austin,1070.0,74.3,2012
EAGLE PASS ISD,San Antonio,937.0,60.7,2012
DEVINE ISD,San Antonio,1014.0,42.5,2012
NATALIA ISD,San Antonio,937.0,60.8,2012
HONDO ISD,San Antonio,1151.0,11.0,2012
MEDINA VALLEY ISD,San Antonio,1077.0,12.4,2012
THORNDALE ISD,Austin,987.0,52.3,2012
GRAFORD ISD,Fort Worth,947.0,31.8,2012
MINERAL WELLS ISD,Fort Worth,1021.0,39.1,2012
SANTO ISD,Fort Worth,1022.0,58.6,2012
POOLVILLE ISD,Fort Worth,1017.0,30.3,2012
SPRINGTOWN ISD,Fort Worth,1019.0,43.6,2012
WEATHERFORD ISD,Fort Worth,1086.0,47.2,2012
MILLSAP ISD,Fort Worth,1059.0,41.2,2012
ALEDO ISD,Fort Worth,1154.0,69.7,2012
PEASTER ISD,Fort Worth,1124.0,48.0,2012
BROCK ISD,Fort Worth,1091.0,39.7,2012
ROCKWALL ISD,Richardson,1144.0,65.5,2012
ROYSE CITY ISD,Richardson,1023.0,49.4,2012
GLEN ROSE ISD,Fort Worth,1028.0,57.9,2012
ARLINGTON ISD,Fort Worth,1065.0,60.8,2012
BIRDVILLE ISD,Fort Worth,1067.0,47.8,2012
EVERMAN ISD,Fort Worth,937.0,53.2,2012
FORT WORTH ISD,Fort Worth,989.0,56.4,2012
