DistName,RegnName,Wealth/ADA,Year
COMMERCE ISD,Richardson,254614,2016
COMMERCE ISD,Richardson,260586,2017
COMMUNITY ISD,Richardson,300991,2011
COMMUNITY ISD,Richardson,293705,2012
COMMUNITY ISD,Richardson,301615,2013
COMMUNITY ISD,Richardson,291190,2014
COMMUNITY ISD,Richardson,281683,2015
COMMUNITY ISD,Richardson,278244,2016
COMMUNITY ISD,Richardson,293985,2017
COPPELL ISD,Richardson,752664,2011
COPPELL ISD,Richardson,690284,2012
COPPELL ISD,Richardson,664460,2013
COPPELL ISD,Richardson,676785,2014
COPPELL ISD,Richardson,705142,2015
COPPELL ISD,Richardson,733972,2016
COPPELL ISD,Richardson,771171,2017
COTULLA ISD,San Antonio,360753,2011
COTULLA ISD,San Antonio,481232,2012
COTULLA ISD,San Antonio,761239,2013
COTULLA ISD,San Antonio,1959226,2014
COTULLA ISD,San Antonio,3790564,2015
COTULLA ISD,San Antonio,5679764,2016
COTULLA ISD,San Antonio,5571676,2017
CRANDALL ISD,Richardson,190696,2011
CRANDALL ISD,Richardson,192849,2012
CRANDALL ISD,Richardson,190825,2013
CRANDALL ISD,Richardson,179088,2014
CRANDALL ISD,Richardson,175505,2015
CRANDALL ISD,Richardson,163283,2016
CRANDALL ISD,Richardson,161252,2017
CROSBY ISD,Houston,260603,2011
CROSBY ISD,Houston,272000,2012
CROSBY ISD,Houston,263186,2013
CROSBY ISD,Houston,254001,2014
CROSBY ISD,Houston,249983,2015
CROSBY ISD,Houston,276356,2016
CROSBY ISD,Houston,289761,2017
CROWLEY ISD,Fort Worth,356715,2011
CROWLEY ISD,Fort Worth,332041,2012
CROWLEY ISD,Fort Worth,342343,2013
CROWLEY ISD,Fort Worth,340057,2014
CROWLEY ISD,Fort Worth,347124,2015
CROWLEY ISD,Fort Worth,348992,2016
CROWLEY ISD,Fort Worth,355396,2017
CRYSTAL CITY ISD,San Antonio,104507,2011
CRYSTAL CITY ISD,San Antonio,109598,2012
CRYSTAL CITY ISD,San Antonio,117345,2013
CRYSTAL CITY ISD,San Antonio,153627,2014
CRYSTAL CITY ISD,San Antonio,261199,2015
CRYSTAL CITY ISD,San Antonio,439586,2016
CRYSTAL CITY ISD,San Antonio,629656,2017
