DistName,RegnName,AP-11&12 Participating Students,AP-Total Exams,AP-Passed(%),AP-Exams Taken Per Student,Year
Leander ISD,Austin,1664.0,3643.0,64.4,2.1893028846153846,2013
Floresville ISD,San Antonio,108.0,149.0,25.5,1.3796296296296295,2013
La Vernia ISD,San Antonio,48.0,58.0,46.6,1.2083333333333333,2013
Bridgeport ISD,Fort Worth,35.0,65.0,41.5,1.8571428571428572,2013
Decatur ISD,Fort Worth,50.0,100.0,48.0,2.0,2013
Manor ISD,Austin,174.0,283.0,9.5,1.6264367816091954,2013
Weatherford ISD,Fort Worth,167.0,335.0,59.7,2.0059880239520957,2013
Pflugerville ISD,Austin,913.0,2063.0,44.9,2.2595837897042714,2013
Carroll ISD,Fort Worth,524.0,1345.0,86.3,2.566793893129771,2013
Rockwall ISD,Richardson,700.0,1521.0,63.3,2.172857142857143,2013
Royse City ISD,Richardson,98.0,166.0,36.7,1.6938775510204083,2013
Arlington ISD,Fort Worth,1320.0,2812.0,43.8,2.1303030303030304,2013
Birdville ISD,Fort Worth,940.0,2154.0,43.8,2.2914893617021277,2013
Everman ISD,Fort Worth,145.0,199.0,11.1,1.3724137931034484,2013
Fort Worth ISD,Fort Worth,1928.0,3988.0,30.7,2.0684647302904566,2013
Grapevine-Colleyville ISD,Fort Worth,1010.0,2976.0,71.4,2.9465346534653465,2013
Keller ISD,Fort Worth,1410.0,3186.0,63.0,2.2595744680851064,2013
Mansfield ISD,Fort Worth,1452.0,2902.0,31.4,1.9986225895316805,2013
Crowley ISD,Fort Worth,291.0,564.0,44.7,1.9381443298969072,2013
Kennedale ISD,Fort Worth,42.0,52.0,75.0,1.2380952380952381,2013
Azle ISD,Fort Worth,94.0,164.0,34.1,1.7446808510638299,2013
Hurst-Euless-Bedford ISD,Fort Worth,646.0,1018.0,58.0,1.5758513931888545,2013
Castleberry ISD,Fort Worth,64.0,92.0,18.5,1.4375,2013
Eagle Mt-Saginaw ISD,Fort Worth,570.0,1190.0,39.6,2.087719298245614,2013
Austin ISD,Austin,3004.0,6244.0,53.1,2.078561917443409,2013
Sherman ISD,Richardson,156.0,368.0,58.2,2.358974358974359,2013
Seguin ISD,Austin,228.0,375.0,15.2,1.644736842105263,2013
Gonzales ISD,Austin,42.0,63.0,23.8,1.5,2013
Blanco ISD,Austin,37.0,68.0,57.4,1.837837837837838,2013
Alvin ISD,Houston,398.0,848.0,48.1,2.130653266331658,2013
Angleton ISD,Houston,116.0,218.0,34.4,1.8793103448275863,2013
Brazosport ISD,Houston,191.0,356.0,65.2,1.8638743455497382,2013
Pearland ISD,Houston,849.0,2338.0,55.7,2.7538280329799765,2013
Marble Falls ISD,Austin,108.0,202.0,34.7,1.8703703703703705,2013
Southside ISD,San Antonio,132.0,192.0,29.2,1.4545454545454546,2013
Lockhart ISD,Austin,89.0,188.0,40.4,2.1123595505617976,2013
Barbers Hill ISD,Houston,91.0,158.0,48.7,1.7362637362637363,2013
Allen ISD,Richardson,763.0,1783.0,72.4,2.3368283093053734,2013
Celina ISD,Richardson,74.0,128.0,54.7,1.7297297297297298,2013
Frisco ISD,Richardson,1659.0,4070.0,71.9,2.4532851115129595,2013
McKinney ISD,Richardson,1498.0,3807.0,64.4,2.541388518024032,2013
Plano ISD,Richardson,3303.0,9556.0,79.7,2.893127459884953,2013
Anahuac ISD,Houston,48.0,72.0,9.7,1.5,2013
Judson ISD,San Antonio,247.0,467.0,41.3,1.8906882591093117,2013
Ft Sam Houston ISD,San Antonio,74.0,146.0,25.3,1.972972972972973,2013
Lackland ISD,San Antonio,35.0,76.0,35.5,2.1714285714285713,2013
Denison ISD,Richardson,101.0,268.0,50.0,2.6534653465346536,2013
Pleasanton ISD,San Antonio,66.0,98.0,27.6,1.4848484848484849,2013
Bandera ISD,San Antonio,47.0,85.0,34.1,1.8085106382978724,2013
Bastrop ISD,Austin,126.0,263.0,51.0,2.0873015873015874,2013
Elgin ISD,Austin,130.0,233.0,24.0,1.7923076923076924,2013
Alamo Heights ISD,San Antonio,328.0,753.0,69.2,2.2957317073170733,2013
Harlandale ISD,San Antonio,275.0,421.0,13.5,1.530909090909091,2013
Edgewood ISD,San Antonio,303.0,520.0,6.3,1.716171617161716,2013
San Antonio ISD,San Antonio,1331.0,2483.0,10.4,1.8655146506386175,2013
South San Antonio ISD,San Antonio,68.0,99.0,8.1,1.4558823529411764,2013
Somerset ISD,San Antonio,44.0,52.0,11.5,1.1818181818181819,2013
North East ISD,San Antonio,3257.0,8352.0,48.8,2.564322996622659,2013
East Central ISD,San Antonio,225.0,434.0,29.0,1.9288888888888889,2013
Southwest ISD,San Antonio,112.0,157.0,26.8,1.4017857142857142,2013
Prosper ISD,Richardson,281.0,584.0,62.2,2.078291814946619,2013
Wylie ISD,Richardson,336.0,656.0,58.5,1.9523809523809523,2013
Northside ISD,San Antonio,4078.0,8932.0,38.7,2.1902893575282003,2013
New Braunfels ISD,Austin,274.0,751.0,57.4,2.740875912408759,2013
Little Elm ISD,Fort Worth,177.0,410.0,38.5,2.3163841807909606,2013
Ennis ISD,Richardson,151.0,282.0,36.2,1.8675496688741722,2013
Midlothian ISD,Richardson,200.0,456.0,48.0,2.28,2013
Red Oak ISD,Richardson,107.0,208.0,51.4,1.9439252336448598,2013
Waxahachie ISD,Richardson,161.0,278.0,30.6,1.7267080745341614,2013
Fort Bend ISD,Houston,2650.0,7254.0,71.9,2.7373584905660375,2013
Dickinson ISD,Houston,123.0,238.0,21.8,1.934959349593496,2013
Galveston ISD,Houston,200.0,390.0,35.1,1.95,2013
Texas City ISD,Houston,57.0,73.0,28.8,1.280701754385965,2013
Santa Fe ISD,Houston,38.0,59.0,45.8,1.5526315789473684,2013
Clear Creek ISD,Houston,1634.0,3633.0,67.4,2.2233782129742963,2013
Friendswood ISD,Houston,346.0,874.0,73.9,2.5260115606936417,2013
Lovejoy ISD,Richardson,395.0,1134.0,60.0,2.8708860759493673,2013
Fredericksburg ISD,Austin,103.0,223.0,59.2,2.1650485436893203,2013
Lake Dallas ISD,Fort Worth,75.0,111.0,43.2,1.48,2013
Northwest ISD,Fort Worth,725.0,1783.0,46.6,2.4593103448275864,2013
La Grange ISD,Austin,74.0,103.0,61.2,1.3918918918918919,2013
Argyle ISD,Fort Worth,83.0,190.0,69.5,2.289156626506024,2013
Comal ISD,Austin,696.0,1603.0,44.6,2.30316091954023,2013
Dallas ISD,Richardson,5515.0,13727.0,24.3,2.4890299184043516,2013
Desoto ISD,Richardson,115.0,189.0,12.2,1.6434782608695653,2013
Duncanville ISD,Richardson,120.0,235.0,58.7,1.9583333333333333,2013
Garland ISD,Richardson,1347.0,2746.0,44.6,2.038604305864885,2013
Grand Prairie ISD,Richardson,852.0,1528.0,24.1,1.7934272300469483,2013
