DistName,Students Enrolled in Texas Public 4-year Universities,,Students Enrolled in Texas Public 2-year Colleges,,Students Not Located in Texas Public Higher Education,,Total High School Graduates,
153905   NEW HOME ISD,,,8,47.1%,9,52.9%,17,100.0%
037908   NEW SUMMERFIELD ISD,*,*,*,*,19,70.4%,27,100.0%
236901   NEW WAVERLY ISD,21,27.3%,20,26.0%,36,46.8%,77,100.0%
252902   NEWCASTLE ISD,*,*,*,*,10,62.5%,16,100.0%
220817   NEWMAN INTERNATIONAL ACADEMY OF AR,,,10,55.6%,8,44.4%,18,100.0%
176902   NEWTON ISD,11,16.9%,13,20.0%,41,63.1%,65,100.0%
089903   NIXON-SMILEY CISD,8,13.3%,18,30.0%,34,56.7%,60,100.0%
169902   NOCONA ISD,16,30.8%,7,13.5%,29,55.8%,52,100.0%
062902   NORDHEIM ISD,*,*,*,*,*,*,8,100.0%
145906   NORMANGEE ISD,10,30.3%,13,39.4%,10,30.3%,33,100.0%
015910   NORTH EAST ISD,"1,164",24.7%,"1,179",25.0%,"2,380",50.4%,"4,723",100.0%
112906   NORTH HOPKINS ISD,*,*,*,*,5,33.3%,15,100.0%
139911   NORTH LAMAR ISD,26,13.6%,88,46.1%,77,40.3%,191,100.0%
154903   NORTH ZULCH ISD,*,*,*,*,8,44.4%,18,100.0%
015915   NORTHSIDE ISD,"1,330",20.3%,"2,005",30.6%,"3,220",49.1%,"6,555",100.0%
244905   NORTHSIDE ISD,*,*,*,*,*,*,9,100.0%
061911   NORTHWEST ISD,277,24.0%,304,26.3%,573,49.7%,"1,154",100.0%
069902   NUECES CANYON CISD,*,*,*,*,11,47.8%,23,100.0%
227804   NYOS CHARTER SCHOOL,13,23.6%,16,29.1%,26,47.3%,55,100.0%
145907   OAKWOOD ISD,,,8,61.5%,5,38.5%,13,100.0%
205905   ODEM-EDROY ISD,18,25.7%,17,24.3%,35,50.0%,70,100.0%
153903   O'DONNELL ISD,10,55.6%,,,8,44.4%,18,100.0%
050904   OGLESBY ISD,*,*,*,*,*,*,12,100.0%
252903   OLNEY ISD,13,29.6%,13,29.6%,18,40.9%,44,100.0%
140905   OLTON ISD,11,20.8%,19,35.9%,23,43.4%,53,100.0%
187910   ONALASKA ISD,14,24.1%,13,22.4%,31,53.5%,58,100.0%
125903   ORANGE GROVE ISD,32,30.5%,30,28.6%,43,41.0%,105,100.0%
181905   ORANGEFIELD ISD,28,20.6%,45,33.1%,63,46.3%,136,100.0%
230903   ORE CITY ISD,*,*,*,*,30,52.6%,57,100.0%
014804   ORENDA CHARTER SCHOOL,14,17.5%,31,38.8%,35,43.8%,80,100.0%
201908   OVERTON ISD,*,*,*,*,18,60.0%,30,100.0%
051901   PADUCAH ISD,,,*,*,7,70.0%,10,100.0%
104907   PAINT CREEK ISD,*,*,*,*,5,55.6%,9,100.0%
048903   PAINT ROCK ISD,8,40.0%,5,25.0%,7,35.0%,20,100.0%
158905   PALACIOS ISD,18,21.7%,35,42.2%,30,36.1%,83,100.0%
001907   PALESTINE ISD,31,17.7%,38,21.7%,106,60.6%,175,100.0%
070910   PALMER ISD,12,17.4%,27,39.1%,30,43.5%,69,100.0%
090904   PAMPA ISD,30,12.2%,53,21.6%,162,66.1%,245,100.0%
033902   PANHANDLE ISD,9,19.2%,13,27.7%,25,53.2%,47,100.0%
183801   PANOLA CHARTER SCHOOL,*,*,*,*,23,65.7%,35,100.0%
042905   PANTHER CREEK CISD,*,*,*,*,*,*,10,100.0%
249906   PARADISE ISD,20,23.0%,27,31.0%,40,46.0%,87,100.0%
139909   PARIS ISD,23,12.0%,73,38.2%,95,49.7%,191,100.0%
101917   PASADENA ISD,390,12.1%,"1,252",38.9%,"1,574",48.9%,"3,216",100.0%
071803   PASO DEL NORTE ACADEMY CHARTER DIS,*,*,*,*,55,75.3%,73,100.0%
063906   PATTON SPRINGS ISD,,,,,*,*,*,*
020908   PEARLAND ISD,344,24.8%,441,31.8%,603,43.4%,"1,388",100.0%
082903   PEARSALL ISD,19,14.4%,28,21.2%,85,64.4%,132,100.0%
184908   PEASTER ISD,13,17.6%,31,41.9%,30,40.5%,74,100.0%
195901   PECOS-BARSTOW-TOYAH ISD,21,17.4%,23,19.0%,77,63.6%,121,100.0%
057802   PEGASUS SCHOOL OF LIBERAL ARTS AND,5,10.2%,26,53.1%,18,36.7%,49,100.0%
109914   PENELOPE ISD,*,*,*,*,11,64.7%,17,100.0%
119903   PERRIN-WHITT CISD,6,22.2%,10,37.0%,11,40.7%,27,100.0%
179901   PERRYTON ISD,17,12.9%,29,22.0%,86,65.2%,132,100.0%
095904   PETERSBURG ISD,*,*,*,*,5,38.5%,13,100.0%
039903   PETROLIA ISD,*,*,*,*,18,45.0%,40,100.0%
013903   PETTUS ISD,*,*,*,*,20,58.8%,34,100.0%
172905   PEWITT CISD,7,12.7%,16,29.1%,32,58.2%,55,100.0%
227904   PFLUGERVILLE ISD,389,24.3%,414,25.9%,796,49.8%,"1,599",100.0%
108909   PHARR-SAN JUAN-ALAMO ISD,517,26.2%,518,26.2%,940,47.6%,"1,975",100.0%
061903   PILOT POINT ISD,24,21.2%,28,24.8%,61,54.0%,113,100.0%
092904   PINE TREE ISD,38,12.8%,110,36.9%,150,50.3%,298,100.0%
003801   PINEYWOODS COMMUNITY ACADEMY,10,25.0%,13,32.5%,17,42.5%,40,100.0%
032902   PITTSBURG ISD,12,7.8%,48,31.2%,94,61.0%,154,100.0%
251902   PLAINS ISD,*,*,*,*,14,43.8%,32,100.0%
095905   PLAINVIEW ISD,46,13.7%,82,24.3%,209,62.0%,337,100.0%
043910   PLANO ISD,988,25.6%,998,25.8%,"1,876",48.6%,"3,862",100.0%
019912   PLEASANT GROVE ISD,19,12.5%,38,25.0%,95,62.5%,152,100.0%
007905   PLEASANTON ISD,39,16.7%,42,18.0%,152,65.2%,233,100.0%
117904   PLEMONS-STINNETT-PHILLIPS CISD,5,10.6%,11,23.4%,31,66.0%,47,100.0%
031909   POINT ISABEL ISD,32,26.0%,24,19.5%,67,54.5%,123,100.0%
061906   PONDER ISD,15,16.9%,24,27.0%,50,56.2%,89,100.0%
184901   POOLVILLE ISD,6,13.3%,22,48.9%,17,37.8%,45,100.0%
015801   POR VIDA ACADEMY,*,*,*,*,87,79.1%,110,100.0%
178908   PORT ARANSAS ISD,17,41.5%,9,22.0%,15,36.6%,41,100.0%
123907   PORT ARTHUR ISD,69,16.2%,124,29.0%,234,54.8%,427,100.0%
123908   PORT NECHES-GROVES ISD,114,34.7%,91,27.7%,124,37.7%,329,100.0%
015814   POSITIVE SOLUTIONS CHARTER SCHOOL,,,*,*,17,89.5%,19,100.0%
085902   POST ISD,6,13.0%,14,30.4%,26,56.5%,46,100.0%
007906   POTEET ISD,11,9.3%,32,27.1%,75,63.6%,118,100.0%
247904   POTH ISD,19,33.9%,11,19.6%,26,46.4%,56,100.0%
091913   POTTSBORO ISD,13,14.3%,33,36.3%,45,49.5%,91,100.0%
028906   PRAIRIE LEA ISD,*,*,*,*,*,*,7,100.0%
169909   PRAIRIE VALLEY ISD,*,*,*,*,*,*,11,100.0%
139912   PRAIRILAND ISD,13,15.5%,36,42.9%,35,41.7%,84,100.0%
072801   PREMIER HIGH SCHOOLS,41,4.3%,211,22.2%,699,73.5%,951,100.0%
084805   PREMIER LEARNING ACADEMY,*,*,*,*,9,64.3%,14,100.0%
125905   PREMONT ISD,*,*,*,*,10,58.8%,17,100.0%
189902   PRESIDIO ISD,38,43.7%,15,17.2%,34,39.1%,87,100.0%
167904   PRIDDY ISD,*,*,,,5,62.5%,8,100.0%
043911   PRINCETON ISD,23,10.4%,55,24.9%,143,64.7%,221,100.0%
014803   PRIORITY CHARTER SCHOOLS,*,*,*,*,17,65.4%,26,100.0%
108910   PROGRESO ISD,30,21.7%,34,24.6%,74,53.6%,138,100.0%
043912   PROSPER ISD,98,24.1%,124,30.5%,185,45.5%,407,100.0%
099903   QUANAH ISD,8,22.9%,10,28.6%,17,48.6%,35,100.0%
034907   QUEEN CITY ISD,11,14.3%,20,26.0%,46,59.7%,77,100.0%
116908   QUINLAN ISD,17,10.9%,40,25.6%,99,63.5%,156,100.0%
250904   QUITMAN ISD,8,10.5%,22,29.0%,46,60.5%,76,100.0%
015815   RADIANCE ACADEMY OF LEARNING,*,*,*,*,11,45.8%,24,100.0%
190903   RAINS ISD,27,24.8%,37,33.9%,45,41.3%,109,100.0%
054903   RALLS ISD,6,16.7%,7,19.4%,23,63.9%,36,100.0%
234801   RANCH ACADEMY,,,9,27.3%,24,72.7%,33,100.0%
015906   RANDOLPH FIELD ISD,20,27.4%,19,26.0%,34,46.6%,73,100.0%
067907   RANGER ISD,*,*,*,*,13,46.4%,28,100.0%
231902   RANKIN ISD,*,*,*,*,7,35.0%,20,100.0%
161802   RAPOPORT ACADEMY PUBLIC SCHOOL,*,*,*,*,16,51.6%,31,100.0%
101806   RAUL YZAGUIRRE SCHOOL FOR SUCCESS,*,*,*,*,27,54.0%,50,100.0%
236801   RAVEN SCHOOL,*,*,*,*,*,*,5,100.0%
245903   RAYMONDVILLE ISD,32,21.3%,42,28.0%,76,50.7%,150,100.0%
192901   REAGAN COUNTY ISD,12,21.1%,18,31.6%,27,47.4%,57,100.0%
070911   RED OAK ISD,92,24.0%,141,36.7%,151,39.3%,384,100.0%
019906   REDWATER ISD,7,9.9%,27,38.0%,37,52.1%,71,100.0%
196903   REFUGIO ISD,7,15.2%,16,34.8%,23,50.0%,46,100.0%
045903   RICE CISD,9,12.9%,28,40.0%,33,47.1%,70,100.0%
175911   RICE ISD,8,10.1%,32,40.5%,39,49.4%,79,100.0%
014801   RICHARD MILBURN ALTER HIGH SCHOOL,8,1.7%,77,16.1%,393,82.2%,478,100.0%
093905   RICHARDS ISD,*,*,*,*,11,61.1%,18,100.0%
057916   RICHARDSON ISD,468,22.1%,595,28.2%,"1,051",49.7%,"2,114",100.0%
057840   RICHLAND COLLEGIATE HIGH SCHOOL,137,55.9%,56,22.9%,52,21.2%,245,100.0%
206902   RICHLAND SPRINGS ISD,*,*,*,*,*,*,5,100.0%
161912   RIESEL ISD,7,13.5%,21,40.4%,24,46.2%,52,100.0%
214901   RIO GRANDE CITY CISD,127,19.5%,237,36.3%,289,44.3%,653,100.0%
031911   RIO HONDO ISD,29,21.2%,42,30.7%,66,48.2%,137,100.0%
126907   RIO VISTA ISD,11,22.0%,15,30.0%,24,48.0%,50,100.0%
067908   RISING STAR ISD,*,*,*,*,11,78.6%,14,100.0%
188902   RIVER ROAD ISD,*,*,*,*,41,52.6%,78,100.0%
194903   RIVERCREST ISD,*,*,*,*,25,45.5%,55,100.0%
137903   RIVIERA ISD,*,*,*,*,21,46.7%,45,100.0%
041902   ROBERT LEE ISD,*,*,*,*,7,58.3%,12,100.0%
161922   ROBINSON ISD,30,16.0%,81,43.3%,76,40.6%,187,100.0%
178909   ROBSTOWN ISD,26,19.0%,25,18.3%,86,62.8%,137,100.0%
076903   ROBY CISD,6,35.3%,5,29.4%,6,35.3%,17,100.0%
160904   ROCHELLE ISD,*,*,*,*,8,47.1%,17,100.0%
166904   ROCKDALE ISD,16,13.3%,35,29.2%,69,57.5%,120,100.0%
069901   ROCKSPRINGS ISD,*,*,*,*,10,71.4%,14,100.0%
199901   ROCKWALL ISD,281,26.4%,321,30.1%,463,43.5%,"1,065",100.0%
014907   ROGERS ISD,9,13.0%,17,24.6%,43,62.3%,69,100.0%
214903   ROMA ISD,101,25.3%,167,41.8%,132,33.0%,400,100.0%
152908   ROOSEVELT ISD,8,12.5%,18,28.1%,38,59.4%,64,100.0%
110905   ROPES ISD,6,25.0%,11,45.8%,7,29.2%,24,100.0%
177901   ROSCOE COLLEGIATE ISD,*,*,*,*,8,36.4%,22,100.0%
073905   ROSEBUD-LOTT ISD,5,8.9%,21,37.5%,30,53.6%,56,100.0%
076904   ROTAN ISD,*,*,*,*,13,61.9%,21,100.0%
246909   ROUND ROCK ISD,928,30.3%,804,26.2%,"1,334",43.5%,"3,066",100.0%
075908   ROUND TOP-CARMINE ISD,,,10,55.6%,8,44.4%,18,100.0%
139908   ROXTON ISD,*,*,*,*,6,50.0%,12,100.0%
237905   ROYAL ISD,6,5.8%,21,20.2%,77,74.0%,104,100.0%
199902   ROYSE CITY ISD,62,20.3%,80,26.1%,164,53.6%,306,100.0%
104903   RULE ISD,*,*,,,8,88.9%,9,100.0%
128903   RUNGE ISD,*,*,*,*,21,84.0%,25,100.0%
037907   RUSK ISD,11,8.9%,53,43.1%,59,48.0%,123,100.0%
091914   S AND S CISD,11,16.9%,24,36.9%,30,46.2%,65,100.0%
232902   SABINAL ISD,10,27.0%,18,48.7%,9,24.3%,37,100.0%
092906   SABINE ISD,10,13.3%,32,42.7%,33,44.0%,75,100.0%
123913   SABINE PASS ISD,8,28.6%,11,39.3%,9,32.1%,28,100.0%
169911   SAINT JO ISD,*,*,*,*,10,43.5%,23,100.0%
014908   SALADO ISD,26,26.8%,37,38.1%,34,35.1%,97,100.0%
112909   SALTILLO ISD,5,21.7%,10,43.5%,8,34.8%,23,100.0%
074917   SAM RAYBURN ISD,*,*,*,*,7,25.9%,27,100.0%
226903   SAN ANGELO ISD,306,33.2%,104,11.3%,512,55.5%,922,100.0%
015907   SAN ANTONIO ISD,332,12.7%,715,27.4%,"1,566",59.9%,"2,613",100.0%
015820   SAN ANTONIO SCHOOL FOR INQUIRY & C,,,6,24.0%,19,76.0%,25,100.0%
203901   SAN AUGUSTINE ISD,6,14.6%,11,26.8%,24,58.5%,41,100.0%
031912   SAN BENITO CISD,122,17.9%,198,29.1%,360,52.9%,680,100.0%
066902   SAN DIEGO ISD,15,17.7%,27,31.8%,43,50.6%,85,100.0%
071904   SAN ELIZARIO ISD,29,13.8%,80,38.1%,101,48.1%,210,100.0%
233901   SAN FELIPE-DEL RIO CISD,120,19.0%,247,39.0%,266,42.0%,633,100.0%
214902   SAN ISIDRO ISD,*,*,*,*,*,*,13,100.0%
105902   SAN MARCOS CISD,117,25.1%,92,19.7%,257,55.2%,466,100.0%
245904   SAN PERLITA ISD,5,25.0%,9,45.0%,6,30.0%,20,100.0%
206901   SAN SABA ISD,16,35.6%,8,17.8%,21,46.7%,45,100.0%
058909   SANDS CISD,*,*,*,*,*,*,6,100.0%
117903   SANFORD-FRITCH ISD,5,10.4%,22,45.8%,21,43.8%,48,100.0%
061908   SANGER ISD,29,14.1%,47,22.8%,130,63.1%,206,100.0%
042903   SANTA ANNA ISD,*,*,*,*,8,53.3%,15,100.0%
084909   SANTA FE ISD,51,15.8%,120,37.3%,151,46.9%,322,100.0%
137904   SANTA GERTRUDIS ISD,25,35.7%,15,21.4%,30,42.9%,70,100.0%
031913   SANTA MARIA ISD,5,11.6%,11,25.6%,27,62.8%,43,100.0%
031914   SANTA ROSA ISD,16,20.8%,23,29.9%,38,49.4%,77,100.0%
182904   SANTO ISD,8,22.9%,12,34.3%,15,42.9%,35,100.0%
074911   SAVOY ISD,*,*,*,*,7,29.2%,24,100.0%
094902   SCHERTZ-CIBOLO-U CITY ISD,261,23.1%,276,24.5%,592,52.4%,"1,129",100.0%
207901   SCHLEICHER ISD,12,37.5%,7,21.9%,13,40.6%,32,100.0%
015806   SCHOOL OF EXCELLENCE IN EDUCATION,*,*,*,*,13,68.4%,19,100.0%
015827   SCHOOL OF SCIENCE AND TECHNOLOGY,7,20.0%,8,22.9%,20,57.1%,35,100.0%
015831   SCHOOL OF SCIENCE AND TECHNOLOGY D,*,*,*,*,*,*,9,100.0%
075903   SCHULENBURG ISD,10,21.3%,16,34.0%,21,44.7%,47,100.0%
129910   SCURRY-ROSSER ISD,7,9.6%,29,39.7%,37,50.7%,73,100.0%
083901   SEAGRAVES ISD,*,*,*,*,19,73.1%,26,100.0%
008902   SEALY ISD,26,14.4%,44,24.4%,110,61.1%,180,100.0%
094901   SEGUIN ISD,61,13.8%,51,11.6%,329,74.6%,441,100.0%
083903   SEMINOLE ISD,31,17.8%,31,17.8%,112,64.4%,174,100.0%
012901   SEYMOUR ISD,8,22.9%,16,45.7%,11,31.4%,35,100.0%
152909   SHALLOWATER ISD,21,18.8%,41,36.6%,50,44.6%,112,100.0%
242902   SHAMROCK ISD,6,17.7%,8,23.5%,20,58.8%,34,100.0%
108911   SHARYLAND ISD,253,33.9%,202,27.1%,291,39.0%,746,100.0%
015819   SHEKINAH RADIANCE ACADEMY,,,*,*,12,75.0%,16,100.0%
210903   SHELBYVILLE ISD,11,20.4%,24,44.4%,19,35.2%,54,100.0%
101924   SHELDON ISD,63,14.7%,139,32.3%,228,53.0%,430,100.0%
204904   SHEPHERD ISD,6,5.5%,32,29.4%,71,65.1%,109,100.0%
091906   SHERMAN ISD,43,10.7%,133,33.1%,226,56.2%,402,100.0%
143903   SHINER ISD,12,26.7%,11,24.4%,22,48.9%,45,100.0%
047905   SIDNEY ISD,*,*,*,*,5,55.6%,9,100.0%
115902   SIERRA BLANCA ISD,,,*,*,*,*,8,100.0%
100904   SILSBEE ISD,38,19.9%,43,22.5%,110,57.6%,191,100.0%
023902   SILVERTON ISD,*,*,*,*,*,*,8,100.0%
019909   SIMMS ISD,,,18,42.9%,24,57.1%,42,100.0%
205906   SINTON ISD,31,20.0%,35,22.6%,89,57.4%,155,100.0%
013905   SKIDMORE-TYNAN ISD,9,15.3%,28,47.5%,22,37.3%,59,100.0%
152903   SLATON ISD,5,7.4%,17,25.0%,46,67.7%,68,100.0%
249908   SLIDELL ISD,*,*,*,*,9,60.0%,15,100.0%
001909   SLOCUM ISD,5,15.6%,8,25.0%,19,59.4%,32,100.0%
011904   SMITHVILLE ISD,23,19.3%,25,21.0%,71,59.7%,119,100.0%
110906   SMYER ISD,*,*,*,*,9,31.0%,29,100.0%
026903   SNOOK ISD,5,16.7%,11,36.7%,14,46.7%,30,100.0%
208902   SNYDER ISD,19,12.2%,68,43.6%,69,44.2%,156,100.0%
071909   SOCORRO ISD,860,28.8%,942,31.5%,"1,186",39.7%,"2,988",100.0%
015909   SOMERSET ISD,28,12.5%,66,29.5%,130,58.0%,224,100.0%
026902   SOMERVILLE ISD,*,*,*,*,18,60.0%,30,100.0%
218901   SONORA ISD,19,29.7%,12,18.8%,33,51.6%,64,100.0%
152803   SOUTH PLAINS ACADEMY CHARTER DISTR,*,*,*,*,81,89.0%,91,100.0%
015908   SOUTH SAN ANTONIO ISD,51,9.9%,172,33.5%,291,56.6%,514,100.0%
031916   SOUTH TEXAS ISD,384,61.3%,81,12.9%,161,25.7%,626,100.0%
085903   SOUTHLAND ISD,*,*,*,*,7,46.7%,15,100.0%
015917   SOUTHSIDE ISD,41,15.0%,80,29.2%,153,55.8%,274,100.0%
015912   SOUTHWEST ISD,71,8.7%,244,30.1%,497,61.2%,812,100.0%
015807   SOUTHWEST PREPARATORY SCHOOL,*,*,*,*,68,75.6%,90,100.0%
101838   SOUTHWEST SCHOOL,25,21.4%,27,23.1%,65,55.6%,117,100.0%
098904   SPEARMAN ISD,10,17.9%,12,21.4%,34,60.7%,56,100.0%
170907   SPLENDORA ISD,40,17.3%,46,19.9%,145,62.8%,231,100.0%
101920   SPRING BRANCH ISD,433,21.7%,384,19.2%,"1,181",59.1%,"1,998",100.0%
092907   SPRING HILL ISD,24,20.9%,54,47.0%,37,32.2%,115,100.0%
101919   SPRING ISD,432,21.0%,614,29.8%,"1,012",49.2%,"2,058",100.0%
140907   SPRINGLAKE-EARTH ISD,*,*,*,*,10,47.6%,21,100.0%
184902   SPRINGTOWN ISD,37,19.0%,53,27.2%,105,53.9%,195,100.0%
063903   SPUR ISD,5,29.4%,7,41.2%,5,29.4%,17,100.0%
229905   SPURGER ISD,*,*,*,*,18,72.0%,25,100.0%
079910   STAFFORD MSD,58,25.3%,57,24.9%,114,49.8%,229,100.0%
127906   STAMFORD ISD,*,*,*,*,23,57.5%,40,100.0%
156902   STANTON ISD,14,26.9%,9,17.3%,29,55.8%,52,100.0%
072903   STEPHENVILLE ISD,56,32.0%,44,25.1%,75,42.9%,175,100.0%
216901   STERLING CITY ISD,7,31.8%,6,27.3%,9,40.9%,22,100.0%
247906   STOCKDALE ISD,11,19.0%,15,25.9%,32,55.2%,58,100.0%
211902   STRATFORD ISD,10,27.8%,6,16.7%,20,55.6%,36,100.0%
182905   STRAWN ISD,*,*,*,*,9,50.0%,18,100.0%
140908   SUDAN ISD,9,28.1%,14,43.8%,9,28.1%,32,100.0%
112910   SULPHUR BLUFF ISD,*,*,*,*,8,61.5%,13,100.0%
112901   SULPHUR SPRINGS ISD,70,26.0%,79,29.4%,120,44.6%,269,100.0%
110907   SUNDOWN ISD,5,17.2%,15,51.7%,9,31.0%,29,100.0%
057919   SUNNYVALE ISD,46,41.8%,29,26.4%,35,31.8%,110,100.0%
171902   SUNRAY ISD,8,29.6%,6,22.2%,13,48.2%,27,100.0%
020906   SWEENY ISD,22,18.6%,39,33.1%,57,48.3%,118,100.0%
177902   SWEETWATER ISD,32,29.1%,26,23.6%,52,47.3%,110,100.0%
205907   TAFT ISD,15,23.8%,11,17.5%,37,58.7%,63,100.0%
153904   TAHOKA ISD,7,14.6%,11,22.9%,30,62.5%,48,100.0%
146907   TARKINGTON ISD,18,16.4%,25,22.7%,67,60.9%,110,100.0%
201910   TATUM ISD,15,12.5%,47,39.2%,58,48.3%,120,100.0%
246911   TAYLOR ISD,50,21.2%,49,20.8%,137,58.1%,236,100.0%
081904   TEAGUE ISD,11,13.4%,33,40.2%,38,46.3%,82,100.0%
123803   TEKOA ACADEMY OF ACCELERATED STUDI,,,*,*,16,84.2%,19,100.0%
014909   TEMPLE ISD,51,11.0%,155,33.4%,258,55.6%,464,100.0%
210904   TENAHA ISD,*,*,*,*,23,65.7%,35,100.0%
022004   TERLINGUA CSD,*,*,*,*,*,*,6,100.0%
222901   TERRELL COUNTY ISD,7,77.8%,,,*,*,9,100.0%
129906   TERRELL ISD,32,11.9%,65,24.1%,173,64.1%,270,100.0%
057804   TEXANS CAN ACADEMIES,9,0.5%,205,12.1%,"1,482",87.4%,"1,696",100.0%
019907   TEXARKANA ISD,69,15.8%,102,23.4%,265,60.8%,436,100.0%
084906   TEXAS CITY ISD,68,15.9%,119,27.9%,240,56.2%,427,100.0%
221801   TEXAS COLLEGE PREPARATORY ACADEMIE,53,12.7%,126,30.2%,238,57.1%,417,100.0%
226801   TEXAS LEADERSHIP,*,*,*,*,30,60.0%,50,100.0%
056902   TEXLINE ISD,*,*,,,6,66.7%,9,100.0%
227827   THE EXCEL CENTER (FOR ADULTS),,,6,12.5%,42,87.5%,48,100.0%
101868   THE PRO-VISION ACADEMY,*,*,*,*,16,64.0%,25,100.0%
166905   THORNDALE ISD,8,17.0%,15,31.9%,24,51.1%,47,100.0%
246912   THRALL ISD,13,30.2%,14,32.6%,16,37.2%,43,100.0%
149902   THREE RIVERS ISD,9,20.5%,23,52.3%,12,27.3%,44,100.0%
224901   THROCKMORTON ISD,*,*,*,*,10,55.6%,18,100.0%
158902   TIDEHAVEN ISD,*,*,*,*,24,48.0%,50,100.0%
210905   TIMPSON ISD,7,23.3%,10,33.3%,13,43.3%,30,100.0%
111903   TOLAR ISD,15,27.3%,16,29.1%,24,43.6%,55,100.0%
091918   TOM BEAN ISD,9,15.8%,29,50.9%,19,33.3%,57,100.0%
101921   TOMBALL ISD,180,22.5%,282,35.2%,339,42.3%,801,100.0%
071908   TORNILLO ISD,15,17.4%,16,18.6%,55,64.0%,86,100.0%
220801   TREETOPS SCHOOL INTERNATIONAL,,,*,*,8,66.7%,12,100.0%
221905   TRENT ISD,*,*,*,*,6,60.0%,10,100.0%
074912   TRENTON ISD,*,*,*,*,17,43.6%,39,100.0%
107907   TRINIDAD ISD,*,*,*,*,11,55.0%,20,100.0%
046802   TRINITY CHARTER SCHOOL,*,*,*,*,7,63.6%,11,100.0%
228903   TRINITY ISD,15,21.1%,11,15.5%,45,63.4%,71,100.0%
212904   TROUP ISD,12,17.4%,29,42.0%,28,40.6%,69,100.0%
014910   TROY ISD,20,21.3%,38,40.4%,36,38.3%,94,100.0%
219903   TULIA ISD,16,34.0%,11,23.4%,20,42.6%,47,100.0%
178912   TULOSO-MIDWAY ISD,67,24.5%,84,30.8%,122,44.7%,273,100.0%
096905   TURKEY-QUITAQUE ISD,6,37.5%,5,31.3%,5,31.3%,16,100.0%
212905   TYLER ISD,115,11.4%,341,33.9%,549,54.6%,"1,005",100.0%
230908   UNION GROVE ISD,*,*,*,*,25,49.0%,51,100.0%
230904   UNION HILL ISD,*,*,*,*,6,35.3%,17,100.0%
240903   UNITED ISD,771,26.6%,"1,124",38.8%,"1,001",34.6%,"2,896",100.0%
057808   UNIVERSAL ACADEMY,*,*,*,*,8,42.1%,19,100.0%
227806   UNIVERSITY OF TEXAS UNIVERSITY CHA,6,14.3%,15,35.7%,21,50.0%,42,100.0%
057843   UPLIFT EDUCATION - HAMPTON PREPARA,27,45.8%,14,23.7%,18,30.5%,59,100.0%
057803   UPLIFT EDUCATION - NORTH HILLS PRE,51,45.5%,17,15.2%,44,39.3%,112,100.0%
057838   UPLIFT EDUCATION - PEAK PREPARATOR,35,32.7%,23,21.5%,49,45.8%,107,100.0%
057842   UPLIFT EDUCATION - WILLIAMS PREPAR,17,20.2%,13,15.5%,54,64.3%,84,100.0%
220816   UPLIFT EDUCATION-SUMMIT INTERNATIO,23,41.8%,11,20.0%,21,38.2%,55,100.0%
232904   UTOPIA ISD,*,*,*,*,11,55.0%,20,100.0%
232903   UVALDE CISD,28,10.7%,119,45.4%,115,43.9%,262,100.0%
122902   VALENTINE ISD,*,*,*,*,,,*,*
018904   VALLEY MILLS ISD,6,15.0%,17,42.5%,17,42.5%,40,100.0%
049903   VALLEY VIEW ISD,10,20.4%,14,28.6%,25,51.0%,49,100.0%
108916   VALLEY VIEW ISD,82,27.1%,87,28.7%,134,44.2%,303,100.0%
091908   VAN ALSTYNE ISD,21,18.1%,49,42.2%,46,39.7%,116,100.0%
234906   VAN ISD,31,18.5%,54,32.1%,83,49.4%,168,100.0%
158906   VAN VLECK ISD,11,14.9%,30,40.5%,33,44.6%,74,100.0%
108808   VANGUARD ACADEMY,16,47.1%,11,32.4%,7,20.6%,34,100.0%
180902   VEGA ISD,12,50.0%,6,25.0%,6,25.0%,24,100.0%
126908   VENUS ISD,21,18.9%,28,25.2%,62,55.9%,111,100.0%
226908   VERIBEST ISD,*,*,*,*,8,47.1%,17,100.0%
244903   VERNON ISD,20,15.0%,53,39.9%,60,45.1%,133,100.0%
235902   VICTORIA ISD,130,17.5%,290,38.9%,325,43.6%,745,100.0%
101865   VICTORY PREP,*,*,*,*,54,80.6%,67,100.0%
181907   VIDOR ISD,60,17.9%,79,23.5%,197,58.6%,336,100.0%
161914   WACO ISD,53,7.3%,262,36.2%,409,56.5%,724,100.0%
089905   WAELDER ISD,*,*,*,*,15,83.3%,18,100.0%
226906   WALL ISD,55,73.3%,10,13.3%,10,13.3%,75,100.0%
237904   WALLER ISD,67,20.1%,75,22.5%,192,57.5%,334,100.0%
018905   WALNUT SPRINGS ISD,*,*,*,*,8,66.7%,12,100.0%
229904   WARREN ISD,12,15.6%,18,23.4%,47,61.0%,77,100.0%
102903   WASKOM ISD,*,*,*,*,40,66.7%,60,100.0%
226905   WATER VALLEY ISD,*,*,*,*,11,45.8%,24,100.0%
070801   WAXAHACHIE FAITH FAMILY ACADEMY,*,*,*,*,9,64.3%,14,100.0%
070912   WAXAHACHIE ISD,98,18.0%,163,29.9%,284,52.1%,545,100.0%
184903   WEATHERFORD ISD,77,14.8%,208,40.0%,235,45.2%,520,100.0%
240904   WEBB CISD,*,*,*,*,5,29.4%,17,100.0%
045905   WEIMAR ISD,8,15.4%,25,48.1%,19,36.5%,52,100.0%
