DistName,Students Enrolled in Texas Public 4-year Universities,,Students Enrolled in Texas Public 2-year Colleges,,Students Not Located in Texas Public Higher Education,,Total High School Graduates,
220816   UPLIFT EDUCATION-SUMMIT INTERNATIO,*,*,*,*,14,53.9%,26,100.0%
232904   UTOPIA ISD,*,*,*,*,8,61.5%,13,100.0%
232903   UVALDE CISD,19,7.5%,119,46.7%,117,45.9%,255,100.0%
122902   VALENTINE ISD,*,*,,,,,*,*
018904   VALLEY MILLS ISD,7,12.3%,25,43.9%,25,43.9%,57,100.0%
049903   VALLEY VIEW ISD,7,17.1%,8,19.5%,26,63.4%,41,100.0%
108916   VALLEY VIEW ISD,72,25.3%,91,31.9%,122,42.8%,285,100.0%
091908   VAN ALSTYNE ISD,24,25.0%,29,30.2%,43,44.8%,96,100.0%
234906   VAN ISD,19,13.3%,55,38.5%,69,48.3%,143,100.0%
158906   VAN VLECK ISD,6,10.0%,24,40.0%,30,50.0%,60,100.0%
108808   VANGUARD ACADEMY,*,*,*,*,*,*,16,100.0%
180902   VEGA ISD,12,38.7%,9,29.0%,10,32.3%,31,100.0%
126908   VENUS ISD,13,11.3%,21,18.3%,81,70.4%,115,100.0%
226908   VERIBEST ISD,*,*,*,*,6,40.0%,15,100.0%
244903   VERNON ISD,23,18.1%,45,35.4%,59,46.5%,127,100.0%
235902   VICTORIA ISD,106,14.1%,276,36.8%,368,49.1%,750,100.0%
101865   VICTORY PREP,8,7.7%,16,15.4%,80,76.9%,104,100.0%
181907   VIDOR ISD,68,18.5%,75,20.4%,224,61.0%,367,100.0%
161914   WACO ISD,52,6.7%,300,38.9%,420,54.4%,772,100.0%
089905   WAELDER ISD,*,*,*,*,16,76.2%,21,100.0%
226906   WALL ISD,36,48.7%,19,25.7%,19,25.7%,74,100.0%
237904   WALLER ISD,52,14.9%,103,29.5%,194,55.6%,349,100.0%
018905   WALNUT SPRINGS ISD,*,*,*,*,*,*,15,100.0%
229904   WARREN ISD,13,16.5%,23,29.1%,43,54.4%,79,100.0%
102903   WASKOM ISD,6,9.5%,21,33.3%,36,57.1%,63,100.0%
226905   WATER VALLEY ISD,8,29.6%,6,22.2%,13,48.2%,27,100.0%
070801   WAXAHACHIE FAITH FAMILY ACADEMY,*,*,*,*,5,35.7%,14,100.0%
070912   WAXAHACHIE ISD,104,20.6%,176,34.9%,225,44.6%,505,100.0%
184903   WEATHERFORD ISD,84,16.6%,210,41.4%,213,42.0%,507,100.0%
240904   WEBB CISD,10,27.8%,9,25.0%,17,47.2%,36,100.0%
045905   WEIMAR ISD,16,32.0%,16,32.0%,18,36.0%,50,100.0%
044902   WELLINGTON ISD,9,29.0%,6,19.4%,16,51.6%,31,100.0%
223904   WELLMAN-UNION CISD,*,*,*,*,*,*,14,100.0%
037909   WELLS ISD,*,*,*,*,11,57.9%,19,100.0%
108913   WESLACO ISD,211,20.8%,339,33.4%,466,45.9%,"1,016",100.0%
100908   WEST HARDIN COUNTY CISD,11,30.6%,10,27.8%,15,41.7%,36,100.0%
161916   WEST ISD,17,14.2%,68,56.7%,35,29.2%,120,100.0%
181906   WEST ORANGE-COVE CISD,41,27.5%,47,31.5%,61,40.9%,149,100.0%
178915   WEST OSO ISD,23,18.6%,24,19.4%,77,62.1%,124,100.0%
201914   WEST RUSK COUNTY CONSOLIDATED ISD,*,*,*,*,38,63.3%,60,100.0%
202905   WEST SABINE ISD,*,*,*,*,30,76.9%,39,100.0%
168903   WESTBROOK ISD,*,*,*,*,10,62.5%,16,100.0%
220810   WESTLAKE ACADEMY CHARTER SCHOOL,9,22.5%,9,22.5%,22,55.0%,40,100.0%
001908   WESTWOOD ISD,8,9.0%,30,33.7%,51,57.3%,89,100.0%
241904   WHARTON ISD,9,7.6%,58,49.2%,51,43.2%,118,100.0%
242903   WHEELER ISD,*,*,*,*,15,60.0%,25,100.0%
033904   WHITE DEER ISD,10,37.0%,5,18.5%,12,44.4%,27,100.0%
092908   WHITE OAK ISD,18,19.2%,43,45.7%,33,35.1%,94,100.0%
220920   WHITE SETTLEMENT ISD,59,14.7%,134,33.3%,209,52.0%,402,100.0%
040902   WHITEFACE CISD,*,*,*,*,*,*,16,100.0%
212906   WHITEHOUSE ISD,69,21.0%,126,38.4%,133,40.6%,328,100.0%
091909   WHITESBORO ISD,14,16.7%,31,36.9%,39,46.4%,84,100.0%
091910   WHITEWRIGHT ISD,11,22.5%,17,34.7%,21,42.9%,49,100.0%
110908   WHITHARRAL ISD,*,*,*,*,*,*,14,100.0%
109911   WHITNEY ISD,19,19.2%,28,28.3%,52,52.5%,99,100.0%
243905   WICHITA FALLS ISD,196,22.3%,172,19.6%,510,58.1%,878,100.0%
170904   WILLIS ISD,73,21.7%,92,27.3%,172,51.0%,337,100.0%
234907   WILLS POINT ISD,32,17.7%,46,25.4%,103,56.9%,181,100.0%
153907   WILSON ISD,*,*,*,*,8,72.7%,11,100.0%
105905   WIMBERLEY ISD,52,34.9%,31,20.8%,66,44.3%,149,100.0%
005904   WINDTHORST ISD,*,*,*,*,17,54.8%,31,100.0%
057828   WINFREE ACADEMY CHARTER SCHOOLS,9,2.4%,95,25.1%,275,72.6%,379,100.0%
248902   WINK-LOVING ISD,6,26.1%,5,21.7%,12,52.2%,23,100.0%
250907   WINNSBORO ISD,28,23.7%,32,27.1%,58,49.2%,118,100.0%
212910   WINONA ISD,7,11.7%,27,45.0%,26,43.3%,60,100.0%
200904   WINTERS ISD,12,28.6%,6,14.3%,24,57.1%,42,100.0%
174906   WODEN ISD,8,15.4%,22,42.3%,22,42.3%,52,100.0%
116909   WOLFE CITY ISD,6,18.2%,16,48.5%,11,33.3%,33,100.0%
196902   WOODSBORO ISD,5,15.6%,11,34.4%,16,50.0%,32,100.0%
224902   WOODSON ISD,,,*,*,6,60.0%,10,100.0%
229903   WOODVILLE ISD,14,22.2%,14,22.2%,35,55.6%,63,100.0%
081905   WORTHAM ISD,5,10.6%,22,46.8%,20,42.6%,47,100.0%
043914   WYLIE ISD,152,19.0%,255,31.8%,395,49.3%,802,100.0%
221912   WYLIE ISD,57,28.8%,62,31.3%,79,39.9%,198,100.0%
250905   YANTIS ISD,*,*,*,*,12,52.2%,23,100.0%
101845   YES PREP PUBLIC SCHOOLS INC,132,44.6%,35,11.8%,129,43.6%,296,100.0%
062903   YOAKUM ISD,18,16.8%,31,29.0%,58,54.2%,107,100.0%
062904   YORKTOWN ISD,11,29.7%,8,21.6%,18,48.7%,37,100.0%
071905   YSLETA ISD,712,24.5%,"1,021",35.1%,"1,179",40.5%,"2,912",100.0%
253901   ZAPATA COUNTY ISD,66,31.0%,56,26.3%,91,42.7%,213,100.0%
003906   ZAVALLA ISD,*,*,*,*,14,45.2%,31,100.0%
025906   ZEPHYR ISD,*,*,*,*,9,47.4%,19,100.0%
