DistName,Students Enrolled in Texas Public 4-year Universities,,Students Enrolled in Texas Public 2-year Colleges,,Students Not Located in Texas Public Higher Education,,Total High School Graduates,
057815   FAITH FAMILY ACADEMY OF OAK CLIFF,*,*,*,*,33,73.3%,45,100.0%
128904   FALLS CITY ISD,20,58.8%,9,26.5%,5,14.7%,34,100.0%
060914   FANNINDEL ISD,*,*,*,*,5,33.3%,15,100.0%
043904   FARMERSVILLE ISD,12,12.8%,27,28.7%,55,58.5%,94,100.0%
185902   FARWELL ISD,7,20.0%,5,14.3%,23,65.7%,35,100.0%
075906   FAYETTEVILLE ISD,,,10,66.7%,5,33.3%,15,100.0%
070905   FERRIS ISD,19,14.2%,44,32.8%,71,53.0%,134,100.0%
075901   FLATONIA ISD,11,22.9%,12,25.0%,25,52.1%,48,100.0%
246902   FLORENCE ISD,14,18.7%,24,32.0%,37,49.3%,75,100.0%
247901   FLORESVILLE ISD,62,19.3%,72,22.4%,187,58.3%,321,100.0%
178914   FLOUR BLUFF ISD,137,34.8%,97,24.6%,160,40.6%,394,100.0%
077901   FLOYDADA ISD,14,26.4%,22,41.5%,17,32.1%,53,100.0%
148902   FOLLETT ISD,*,*,*,*,8,57.1%,14,100.0%
169910   FORESTBURG ISD,*,*,*,*,*,*,6,100.0%
