DistName,RegnName,Year,Enrolled 4-Year,Total Graduated,Enrolled 4-Year (%)
CALLISBURG ISD,Fort Worth,2016,8,76,10.52631579
CALLISBURG ISD,Fort Worth,2017,12,76,15.78947368
CAMPBELL ISD,Richardson,2014,,20,
CAMPBELL ISD,Richardson,2015,,27,
CAMPBELL ISD,Richardson,2016,7,29,24.13793103
CAMPBELL ISD,Richardson,2017,,24,
CANTON ISD,Richardson,2011,21,129,16.27906977
CANTON ISD,Richardson,2012,25,132,18.93939394
CANTON ISD,Richardson,2013,41,141,29.07801418
CANTON ISD,Richardson,2014,33,139,23.74100719
CANTON ISD,Richardson,2015,30,136,22.05882353
CANTON ISD,Richardson,2016,33,129,25.58139535
CANTON ISD,Richardson,2017,38,166,22.89156627
CARROLL ISD,Fort Worth,2011,130,565,23.00884956
CARROLL ISD,Fort Worth,2012,172,669,25.71001495
CARROLL ISD,Fort Worth,2013,144,589,24.44821732
CARROLL ISD,Fort Worth,2014,179,620,28.87096774
CARROLL ISD,Fort Worth,2015,188,661,28.44175492
CARROLL ISD,Fort Worth,2016,175,617,28.363047
CARROLL ISD,Fort Worth,2017,188,664,28.31325301
CARROLLTON-FARMERS BRANCH ISD,Richardson,2011,318,1568,20.28061224
CARROLLTON-FARMERS BRANCH ISD,Richardson,2012,281,1617,17.37786024
CARROLLTON-FARMERS BRANCH ISD,Richardson,2013,285,1671,17.0556553
CARROLLTON-FARMERS BRANCH ISD,Richardson,2014,326,1641,19.86593541
CARROLLTON-FARMERS BRANCH ISD,Richardson,2015,303,1650,18.36363636
CARROLLTON-FARMERS BRANCH ISD,Richardson,2016,276,1608,17.1641791
CARROLLTON-FARMERS BRANCH ISD,Richardson,2017,321,1597,20.10018785
CASTLEBERRY ISD,Fort Worth,2011,35,172,20.34883721
CASTLEBERRY ISD,Fort Worth,2012,23,164,14.02439024
CASTLEBERRY ISD,Fort Worth,2013,19,174,10.91954023
CASTLEBERRY ISD,Fort Worth,2014,23,187,12.29946524
CASTLEBERRY ISD,Fort Worth,2015,23,188,12.23404255
CASTLEBERRY ISD,Fort Worth,2016,28,200,14
