DistName,Students Enrolled in Texas Public 4-year Universities,,Students Enrolled in Texas Public 2-year Colleges,,Students Not Located in Texas Public Higher Education,,Total High School Graduates,
178909   ROBSTOWN ISD,42,24.4%,48,27.9%,82,47.7%,172,100.0%
076903   ROBY CISD,12,34.3%,7,20.0%,16,45.7%,35,100.0%
160904   ROCHELLE ISD,*,*,*,*,8,53.3%,15,100.0%
166904   ROCKDALE ISD,27,21.8%,45,36.3%,52,41.9%,124,100.0%
069901   ROCKSPRINGS ISD,5,22.7%,6,27.3%,11,50.0%,22,100.0%
199901   ROCKWALL ISD,212,24.0%,327,37.1%,343,38.9%,882,100.0%
014907   ROGERS ISD,9,15.3%,32,54.2%,18,30.5%,59,100.0%
214903   ROMA ISD,101,27.6%,149,40.7%,116,31.7%,366,100.0%
152908   ROOSEVELT ISD,13,17.6%,24,32.4%,37,50.0%,74,100.0%
110905   ROPES ISD,*,*,*,*,5,21.7%,23,100.0%
177901   ROSCOE ISD,*,*,*,*,10,40.0%,25,100.0%
073905   ROSEBUD-LOTT ISD,6,9.5%,31,49.2%,26,41.3%,63,100.0%
076904   ROTAN ISD,*,*,*,*,14,43.8%,32,100.0%
246909   ROUND ROCK ISD,772,29.4%,753,28.7%,"1,102",42.0%,"2,627",100.0%
075908   ROUND TOP-CARMINE ISD,*,*,*,*,*,*,14,100.0%
139908   ROXTON ISD,,,7,70.0%,*,*,10,100.0%
237905   ROYAL ISD,23,19.2%,26,21.7%,71,59.2%,120,100.0%
199902   ROYSE CITY ISD,44,15.9%,78,28.3%,154,55.8%,276,100.0%
104903   RULE ISD,*,*,*,*,6,60.0%,10,100.0%
128903   RUNGE ISD,*,*,*,*,8,44.4%,18,100.0%
037907   RUSK ISD,12,10.8%,21,18.9%,78,70.3%,111,100.0%
091914   S AND S CISD,14,20.0%,30,42.9%,26,37.1%,70,100.0%
232902   SABINAL ISD,8,20.0%,13,32.5%,19,47.5%,40,100.0%
092906   SABINE ISD,12,14.3%,38,45.2%,34,40.5%,84,100.0%
123913   SABINE PASS ISD,10,32.3%,11,35.5%,10,32.3%,31,100.0%
169911   SAINT JO ISD,*,*,*,*,17,68.0%,25,100.0%
014908   SALADO ISD,22,17.7%,41,33.1%,61,49.2%,124,100.0%
112909   SALTILLO ISD,*,*,*,*,18,66.7%,27,100.0%
074917   SAM RAYBURN ISD,*,*,*,*,14,51.9%,27,100.0%
044904   SAMNORWOOD ISD,,,*,*,9,75.0%,12,100.0%
226903   SAN ANGELO ISD,266,28.5%,156,16.7%,513,54.9%,935,100.0%
015817   SAN ANTONIO CAN HIGH SCHOOL,,,25,24.0%,79,76.0%,104,100.0%
015907   SAN ANTONIO ISD,254,9.2%,864,31.1%,"1,659",59.7%,"2,777",100.0%
015820   SAN ANTONIO SCHOOL FOR INQUIRY & C,,,13,18.8%,56,81.2%,69,100.0%
015823   SAN ANTONIO TECHNOLOGY ACADEMY,,,*,*,18,85.7%,21,100.0%
203901   SAN AUGUSTINE ISD,15,30.6%,8,16.3%,26,53.1%,49,100.0%
031912   SAN BENITO CISD,121,18.9%,248,38.8%,270,42.3%,639,100.0%
066902   SAN DIEGO ISD,20,20.8%,28,29.2%,48,50.0%,96,100.0%
071904   SAN ELIZARIO ISD,35,15.9%,76,34.6%,109,49.6%,220,100.0%
233901   SAN FELIPE-DEL RIO CISD,106,17.1%,212,34.2%,302,48.7%,620,100.0%
214902   SAN ISIDRO ISD,*,*,*,*,5,31.3%,16,100.0%
105902   SAN MARCOS CISD,119,26.0%,58,12.7%,280,61.3%,457,100.0%
245904   SAN PERLITA ISD,7,30.4%,5,21.7%,11,47.8%,23,100.0%
206901   SAN SABA ISD,14,32.6%,10,23.3%,19,44.2%,43,100.0%
058909   SANDS CISD,*,*,*,*,*,*,14,100.0%
117903   SANFORD-FRITCH ISD,*,*,*,*,22,48.9%,45,100.0%
061908   SANGER ISD,36,18.6%,71,36.6%,87,44.9%,194,100.0%
042903   SANTA ANNA ISD,*,*,*,*,*,*,18,100.0%
084909   SANTA FE ISD,35,11.0%,135,42.6%,147,46.4%,317,100.0%
137904   SANTA GERTRUDIS ISD,*,*,*,*,19,46.3%,41,100.0%
031913   SANTA MARIA ISD,9,28.1%,17,53.1%,6,18.8%,32,100.0%
031914   SANTA ROSA ISD,27,30.3%,29,32.6%,33,37.1%,89,100.0%
182904   SANTO ISD,8,27.6%,7,24.1%,14,48.3%,29,100.0%
074911   SAVOY ISD,*,*,*,*,11,45.8%,24,100.0%
094902   SCHERTZ-CIBOLO-U CITY ISD,203,23.0%,233,26.4%,446,50.6%,882,100.0%
207901   SCHLEICHER ISD,*,*,*,*,26,59.1%,44,100.0%
015806   SCHOOL OF EXCELLENCE IN EDUCATION,*,*,*,*,20,58.8%,34,100.0%
015827   SCHOOL OF SCIENCE AND TECHNOLOGY,6,22.2%,6,22.2%,15,55.6%,27,100.0%
075903   SCHULENBURG ISD,7,13.5%,23,44.2%,22,42.3%,52,100.0%
129910   SCURRY-ROSSER ISD,7,13.2%,20,37.7%,26,49.1%,53,100.0%
