DistName,Students Enrolled in Texas Public 4-year Universities,,Students Enrolled in Texas Public 2-year Colleges,,Students Not Located in Texas Public Higher Education,,Total High School Graduates,
123905   NEDERLAND ISD,123,35.7%,90,26.1%,132,38.3%,345,100.0%
079906   NEEDVILLE ISD,30,17.3%,74,42.8%,69,39.9%,173,100.0%
019905   NEW BOSTON ISD,7,9.6%,28,38.4%,38,52.1%,73,100.0%
046901   NEW BRAUNFELS ISD,116,19.8%,106,18.1%,365,62.2%,587,100.0%
170908   NEW CANEY ISD,74,10.5%,197,28.1%,431,61.4%,702,100.0%
152902   NEW DEAL ISD,7,16.7%,17,40.5%,18,42.9%,42,100.0%
230906   NEW DIANA ISD,5,7.9%,29,46.0%,29,46.0%,63,100.0%
153905   NEW HOME ISD,*,*,*,*,7,35.0%,20,100.0%
037908   NEW SUMMERFIELD ISD,*,*,*,*,30,76.9%,39,100.0%
236901   NEW WAVERLY ISD,17,27.4%,18,29.0%,27,43.6%,62,100.0%
252902   NEWCASTLE ISD,*,*,*,*,6,50.0%,12,100.0%
220817   NEWMAN INTERNATIONAL ACADEMY OF AR,5,14.7%,10,29.4%,19,55.9%,34,100.0%
176902   NEWTON ISD,7,11.5%,12,19.7%,42,68.9%,61,100.0%
089903   NIXON-SMILEY CISD,7,14.6%,8,16.7%,33,68.8%,48,100.0%
169902   NOCONA ISD,19,28.4%,15,22.4%,33,49.3%,67,100.0%
062902   NORDHEIM ISD,*,*,*,*,11,68.8%,16,100.0%
145906   NORMANGEE ISD,9,20.9%,8,18.6%,26,60.5%,43,100.0%
015910   NORTH EAST ISD,"1,199",24.7%,"1,087",22.4%,"2,578",53.0%,"4,864",100.0%
112906   NORTH HOPKINS ISD,*,*,*,*,23,59.0%,39,100.0%
139911   NORTH LAMAR ISD,21,11.3%,80,43.0%,85,45.7%,186,100.0%
154903   NORTH ZULCH ISD,*,*,*,*,5,45.5%,11,100.0%
015915   NORTHSIDE ISD,"1,451",21.2%,"1,933",28.2%,"3,477",50.7%,"6,861",100.0%
244905   NORTHSIDE ISD,*,*,*,*,7,53.9%,13,100.0%
061911   NORTHWEST ISD,268,22.5%,319,26.7%,606,50.8%,"1,193",100.0%
069902   NUECES CANYON CISD,*,*,*,*,5,35.7%,14,100.0%
227804   NYOS CHARTER SCHOOL,22,44.0%,12,24.0%,16,32.0%,50,100.0%
145907   OAKWOOD ISD,*,*,*,*,*,*,13,100.0%
205905   ODEM-EDROY ISD,7,10.5%,28,41.8%,32,47.8%,67,100.0%
153903   O'DONNELL ISD,*,*,*,*,11,64.7%,17,100.0%
084802   ODYSSEY ACADEMY INC,*,*,*,*,*,*,*,*
050904   OGLESBY ISD,*,*,*,*,5,71.4%,7,100.0%
252903   OLNEY ISD,11,29.7%,6,16.2%,20,54.1%,37,100.0%
140905   OLTON ISD,6,15.4%,13,33.3%,20,51.3%,39,100.0%
187910   ONALASKA ISD,8,13.8%,8,13.8%,42,72.4%,58,100.0%
125903   ORANGE GROVE ISD,36,24.2%,33,22.2%,80,53.7%,149,100.0%
181905   ORANGEFIELD ISD,36,30.0%,42,35.0%,42,35.0%,120,100.0%
230903   ORE CITY ISD,*,*,*,*,27,61.4%,44,100.0%
014804   ORENDA CHARTER SCHOOL,14,13.5%,39,37.5%,51,49.0%,104,100.0%
201908   OVERTON ISD,*,*,*,*,11,33.3%,33,100.0%
051901   PADUCAH ISD,*,*,*,*,*,*,12,100.0%
104907   PAINT CREEK ISD,*,*,*,*,*,*,10,100.0%
048903   PAINT ROCK ISD,*,*,*,*,15,62.5%,24,100.0%
158905   PALACIOS ISD,19,20.7%,30,32.6%,43,46.7%,92,100.0%
001907   PALESTINE ISD,20,11.2%,51,28.7%,107,60.1%,178,100.0%
070910   PALMER ISD,10,14.9%,26,38.8%,31,46.3%,67,100.0%
090904   PAMPA ISD,40,16.7%,61,25.5%,138,57.7%,239,100.0%
033902   PANHANDLE ISD,16,32.0%,19,38.0%,15,30.0%,50,100.0%
183801   PANOLA CHARTER SCHOOL,5,16.1%,5,16.1%,21,67.7%,31,100.0%
042905   PANTHER CREEK CISD,*,*,,,8,66.7%,12,100.0%
249906   PARADISE ISD,14,18.4%,25,32.9%,37,48.7%,76,100.0%
139909   PARIS ISD,24,12.2%,71,36.0%,102,51.8%,197,100.0%
101917   PASADENA ISD,420,12.4%,"1,217",35.8%,"1,759",51.8%,"3,396",100.0%
071803   PASO DEL NORTE ACADEMY CHARTER DIS,*,*,*,*,68,81.9%,83,100.0%
063906   PATTON SPRINGS ISD,,,,,*,*,*,*
020908   PEARLAND ISD,394,27.0%,453,31.1%,610,41.9%,"1,457",100.0%
082903   PEARSALL ISD,12,8.8%,42,30.7%,83,60.6%,137,100.0%
184908   PEASTER ISD,13,24.1%,22,40.7%,19,35.2%,54,100.0%
195901   PECOS-BARSTOW-TOYAH ISD,25,17.1%,39,26.7%,82,56.2%,146,100.0%
057802   PEGASUS SCHOOL OF LIBERAL ARTS AND,*,*,*,*,8,47.1%,17,100.0%
109914   PENELOPE ISD,,,*,*,5,83.3%,6,100.0%
119903   PERRIN-WHITT CISD,*,*,*,*,13,61.9%,21,100.0%
179901   PERRYTON ISD,16,13.2%,19,15.7%,86,71.1%,121,100.0%
095904   PETERSBURG ISD,*,*,*,*,9,69.2%,13,100.0%
039903   PETROLIA CISD,*,*,*,*,21,56.8%,37,100.0%
013903   PETTUS ISD,*,*,*,*,14,50.0%,28,100.0%
172905   PEWITT CISD,6,8.0%,25,33.3%,44,58.7%,75,100.0%
227904   PFLUGERVILLE ISD,415,26.5%,365,23.3%,784,50.1%,"1,564",100.0%
108909   PHARR-SAN JUAN-ALAMO ISD,441,21.9%,570,28.3%,"1,002",49.8%,"2,013",100.0%
061903   PILOT POINT ISD,24,25.3%,20,21.1%,51,53.7%,95,100.0%
092904   PINE TREE ISD,34,11.0%,109,35.2%,167,53.9%,310,100.0%
003801   PINEYWOODS COMMUNITY ACADEMY,11,26.2%,18,42.9%,13,31.0%,42,100.0%
032902   PITTSBURG ISD,17,9.9%,66,38.4%,89,51.7%,172,100.0%
251902   PLAINS ISD,*,*,*,*,14,53.9%,26,100.0%
095905   PLAINVIEW ISD,42,13.1%,78,24.3%,201,62.6%,321,100.0%
043910   PLANO ISD,932,23.6%,"1,061",26.9%,"1,955",49.5%,"3,948",100.0%
019912   PLEASANT GROVE ISD,23,16.6%,44,31.7%,72,51.8%,139,100.0%
007905   PLEASANTON ISD,42,16.5%,48,18.9%,164,64.6%,254,100.0%
117904   PLEMONS-STINNETT-PHILLIPS CISD,6,12.8%,16,34.0%,25,53.2%,47,100.0%
031909   POINT ISABEL ISD,40,25.5%,22,14.0%,95,60.5%,157,100.0%
061906   PONDER ISD,27,27.0%,30,30.0%,43,43.0%,100,100.0%
184901   POOLVILLE ISD,*,*,*,*,10,40.0%,25,100.0%
015801   POR VIDA ACADEMY,*,*,*,*,97,82.9%,117,100.0%
178908   PORT ARANSAS ISD,8,25.0%,5,15.6%,19,59.4%,32,100.0%
123907   PORT ARTHUR ISD,66,16.7%,119,30.1%,211,53.3%,396,100.0%
123908   PORT NECHES-GROVES ISD,105,35.2%,80,26.9%,113,37.9%,298,100.0%
015814   POSITIVE SOLUTIONS CHARTER SCHOOL,,,*,*,21,87.5%,24,100.0%
085902   POST ISD,*,*,*,*,29,63.0%,46,100.0%
007906   POTEET ISD,16,14.6%,29,26.4%,65,59.1%,110,100.0%
247904   POTH ISD,9,20.9%,8,18.6%,26,60.5%,43,100.0%
091913   POTTSBORO ISD,17,19.1%,38,42.7%,34,38.2%,89,100.0%
028906   PRAIRIE LEA ISD,*,*,,,*,*,6,100.0%
169909   PRAIRIE VALLEY ISD,,,*,*,5,71.4%,7,100.0%
139912   PRAIRILAND ISD,9,14.1%,23,35.9%,32,50.0%,64,100.0%
072801   PREMIER HIGH SCHOOLS,58,4.4%,313,23.9%,940,71.7%,"1,311",100.0%
125905   PREMONT ISD,6,21.4%,8,28.6%,14,50.0%,28,100.0%
189902   PRESIDIO ISD,37,39.8%,27,29.0%,29,31.2%,93,100.0%
167904   PRIDDY ISD,*,*,,,6,85.7%,7,100.0%
043911   PRINCETON ISD,28,12.3%,54,23.8%,145,63.9%,227,100.0%
014803   PRIORITY CHARTER SCHOOLS,,,11,32.4%,23,67.7%,34,100.0%
108910   PROGRESO ISD,22,16.7%,32,24.2%,78,59.1%,132,100.0%
043912   PROSPER ISD,89,20.4%,136,31.2%,211,48.4%,436,100.0%
099903   QUANAH ISD,7,18.9%,18,48.7%,12,32.4%,37,100.0%
034907   QUEEN CITY ISD,5,7.4%,26,38.2%,37,54.4%,68,100.0%
116908   QUINLAN ISD,21,13.9%,27,17.9%,103,68.2%,151,100.0%
250904   QUITMAN ISD,11,15.3%,19,26.4%,42,58.3%,72,100.0%
015815   RADIANCE ACADEMY OF LEARNING,,,11,68.8%,5,31.3%,16,100.0%
190903   RAINS ISD,27,24.1%,30,26.8%,55,49.1%,112,100.0%
054903   RALLS ISD,*,*,*,*,19,52.8%,36,100.0%
234801   RANCH ACADEMY,*,*,*,*,23,62.2%,37,100.0%
015906   RANDOLPH FIELD ISD,35,29.7%,23,19.5%,60,50.9%,118,100.0%
067907   RANGER ISD,*,*,*,*,8,42.1%,19,100.0%
231902   RANKIN ISD,*,*,*,*,*,*,11,100.0%
161802   RAPOPORT ACADEMY PUBLIC SCHOOL,12,36.4%,15,45.5%,6,18.2%,33,100.0%
101806   RAUL YZAGUIRRE SCHOOL FOR SUCCESS,6,9.0%,18,26.9%,43,64.2%,67,100.0%
236801   RAVEN SCHOOL,,,,,11,100.0%,11,100.0%
245903   RAYMONDVILLE ISD,27,20.9%,39,30.2%,63,48.8%,129,100.0%
192901   REAGAN COUNTY ISD,14,19.2%,23,31.5%,36,49.3%,73,100.0%
070911   RED OAK ISD,78,17.8%,151,34.4%,210,47.8%,439,100.0%
019906   REDWATER ISD,8,9.4%,38,44.7%,39,45.9%,85,100.0%
196903   REFUGIO ISD,11,18.3%,19,31.7%,30,50.0%,60,100.0%
045903   RICE CISD,14,19.2%,22,30.1%,37,50.7%,73,100.0%
175911   RICE ISD,7,10.8%,23,35.4%,35,53.9%,65,100.0%
014801   RICHARD MILBURN ALTER HIGH SCHOOL,*,*,*,*,439,82.1%,535,100.0%
093905   RICHARDS ISD,*,*,*,*,*,*,6,100.0%
057916   RICHARDSON ISD,462,21.9%,555,26.3%,"1,094",51.8%,"2,111",100.0%
057840   RICHLAND COLLEGIATE HIGH SCHOOL,143,63.3%,24,10.6%,59,26.1%,226,100.0%
206902   RICHLAND SPRINGS ISD,*,*,*,*,7,58.3%,12,100.0%
161912   RIESEL ISD,5,10.4%,26,54.2%,17,35.4%,48,100.0%
214901   RIO GRANDE CITY CISD,135,19.5%,247,35.6%,311,44.9%,693,100.0%
031911   RIO HONDO ISD,28,20.6%,46,33.8%,62,45.6%,136,100.0%
126907   RIO VISTA ISD,*,*,*,*,30,58.8%,51,100.0%
067908   RISING STAR ISD,*,*,*,*,9,60.0%,15,100.0%
188902   RIVER ROAD ISD,8,9.0%,35,39.3%,46,51.7%,89,100.0%
194903   RIVERCREST ISD,5,11.6%,19,44.2%,19,44.2%,43,100.0%
137903   RIVIERA ISD,*,*,*,*,17,50.0%,34,100.0%
041902   ROBERT LEE ISD,6,28.6%,7,33.3%,8,38.1%,21,100.0%
161922   ROBINSON ISD,31,16.0%,94,48.5%,69,35.6%,194,100.0%
178909   ROBSTOWN ISD,19,11.1%,39,22.8%,113,66.1%,171,100.0%
076903   ROBY CISD,*,*,*,*,13,59.1%,22,100.0%
160904   ROCHELLE ISD,*,*,*,*,6,42.9%,14,100.0%
166904   ROCKDALE ISD,15,14.6%,31,30.1%,57,55.3%,103,100.0%
069901   ROCKSPRINGS ISD,*,*,*,*,8,66.7%,12,100.0%
199901   ROCKWALL ISD,252,24.0%,319,30.4%,480,45.7%,"1,051",100.0%
014907   ROGERS ISD,15,19.2%,19,24.4%,44,56.4%,78,100.0%
214903   ROMA ISD,109,29.1%,166,44.4%,99,26.5%,374,100.0%
152908   ROOSEVELT ISD,14,21.9%,17,26.6%,33,51.6%,64,100.0%
110905   ROPES ISD,*,*,*,*,6,25.0%,24,100.0%
177901   ROSCOE COLLEGIATE ISD,*,*,*,*,21,70.0%,30,100.0%
073905   ROSEBUD-LOTT ISD,6,10.7%,16,28.6%,34,60.7%,56,100.0%
076904   ROTAN ISD,*,*,*,*,7,46.7%,15,100.0%
246909   ROUND ROCK ISD,896,27.6%,852,26.2%,"1,499",46.2%,"3,247",100.0%
075908   ROUND TOP-CARMINE ISD,6,27.3%,10,45.5%,6,27.3%,22,100.0%
139908   ROXTON ISD,*,*,*,*,*,*,9,100.0%
237905   ROYAL ISD,20,16.1%,20,16.1%,84,67.7%,124,100.0%
199902   ROYSE CITY ISD,67,19.4%,91,26.4%,187,54.2%,345,100.0%
104903   RULE ISD,*,*,,,*,*,*,*
128903   RUNGE ISD,*,*,*,*,*,*,12,100.0%
037907   RUSK ISD,8,6.8%,50,42.4%,60,50.9%,118,100.0%
091914   S AND S CISD,11,16.2%,18,26.5%,39,57.4%,68,100.0%
232902   SABINAL ISD,8,20.5%,13,33.3%,18,46.2%,39,100.0%
092906   SABINE ISD,10,9.6%,47,45.2%,47,45.2%,104,100.0%
123913   SABINE PASS ISD,15,39.5%,12,31.6%,11,29.0%,38,100.0%
169911   SAINT JO ISD,*,*,*,*,10,71.4%,14,100.0%
014908   SALADO ISD,33,29.2%,26,23.0%,54,47.8%,113,100.0%
112909   SALTILLO ISD,9,52.9%,5,29.4%,*,*,17,100.0%
074917   SAM RAYBURN ISD,*,*,*,*,18,66.7%,27,100.0%
226903   SAN ANGELO ISD,283,29.5%,104,10.8%,572,59.7%,959,100.0%
015907   SAN ANTONIO ISD,395,15.6%,574,22.7%,"1,565",61.8%,"2,534",100.0%
015820   SAN ANTONIO SCHOOL FOR INQUIRY & C,,,7,18.9%,30,81.1%,37,100.0%
203901   SAN AUGUSTINE ISD,8,17.0%,17,36.2%,22,46.8%,47,100.0%
031912   SAN BENITO CISD,122,17.9%,194,28.4%,367,53.7%,683,100.0%
066902   SAN DIEGO ISD,16,22.5%,25,35.2%,30,42.3%,71,100.0%
071904   SAN ELIZARIO ISD,33,14.7%,77,34.4%,114,50.9%,224,100.0%
233901   SAN FELIPE-DEL RIO CISD,125,20.3%,236,38.4%,254,41.3%,615,100.0%
214902   SAN ISIDRO ISD,*,*,*,*,7,41.2%,17,100.0%
105902   SAN MARCOS CISD,94,20.0%,76,16.2%,300,63.8%,470,100.0%
245904   SAN PERLITA ISD,7,31.8%,7,31.8%,8,36.4%,22,100.0%
206901   SAN SABA ISD,11,29.7%,9,24.3%,17,46.0%,37,100.0%
058909   SANDS CISD,5,31.3%,7,43.8%,*,*,16,100.0%
117903   SANFORD-FRITCH ISD,10,15.4%,20,30.8%,35,53.9%,65,100.0%
061908   SANGER ISD,29,14.4%,43,21.4%,129,64.2%,201,100.0%
042903   SANTA ANNA ISD,*,*,*,*,5,45.5%,11,100.0%
084909   SANTA FE ISD,54,17.3%,114,36.5%,144,46.2%,312,100.0%
137904   SANTA GERTRUDIS ISD,46,56.8%,16,19.8%,19,23.5%,81,100.0%
031913   SANTA MARIA ISD,9,18.4%,14,28.6%,26,53.1%,49,100.0%
031914   SANTA ROSA ISD,13,18.3%,20,28.2%,38,53.5%,71,100.0%
182904   SANTO ISD,11,31.4%,12,34.3%,12,34.3%,35,100.0%
074911   SAVOY ISD,*,*,*,*,13,40.6%,32,100.0%
094902   SCHERTZ-CIBOLO-U CITY ISD,271,24.3%,231,20.7%,612,54.9%,"1,114",100.0%
207901   SCHLEICHER ISD,16,34.8%,6,13.0%,24,52.2%,46,100.0%
015806   SCHOOL OF EXCELLENCE IN EDUCATION,*,*,*,*,23,76.7%,30,100.0%
015827   SCHOOL OF SCIENCE AND TECHNOLOGY,10,15.2%,17,25.8%,39,59.1%,66,100.0%
015831   SCHOOL OF SCIENCE AND TECHNOLOGY D,*,*,*,*,7,36.8%,19,100.0%
075903   SCHULENBURG ISD,7,13.2%,19,35.9%,27,50.9%,53,100.0%
129910   SCURRY-ROSSER ISD,8,11.0%,27,37.0%,38,52.1%,73,100.0%
083901   SEAGRAVES ISD,*,*,*,*,24,60.0%,40,100.0%
008902   SEALY ISD,31,14.8%,55,26.2%,124,59.1%,210,100.0%
094901   SEGUIN ISD,72,16.1%,52,11.7%,322,72.2%,446,100.0%
083903   SEMINOLE ISD,18,11.0%,35,21.5%,110,67.5%,163,100.0%
012901   SEYMOUR ISD,9,23.7%,9,23.7%,20,52.6%,38,100.0%
152909   SHALLOWATER ISD,28,28.3%,30,30.3%,41,41.4%,99,100.0%
242902   SHAMROCK ISD,5,17.2%,5,17.2%,19,65.5%,29,100.0%
108911   SHARYLAND ISD,237,29.0%,234,28.6%,347,42.4%,818,100.0%
210903   SHELBYVILLE ISD,11,20.0%,20,36.4%,24,43.6%,55,100.0%
101924   SHELDON ISD,63,14.2%,126,28.3%,256,57.5%,445,100.0%
204904   SHEPHERD ISD,22,19.5%,19,16.8%,72,63.7%,113,100.0%
091906   SHERMAN ISD,43,10.9%,132,33.3%,221,55.8%,396,100.0%
143903   SHINER ISD,12,31.6%,10,26.3%,16,42.1%,38,100.0%
047905   SIDNEY ISD,*,*,*,*,5,50.0%,10,100.0%
115902   SIERRA BLANCA ISD,*,*,*,*,5,50.0%,10,100.0%
100904   SILSBEE ISD,34,18.2%,47,25.1%,106,56.7%,187,100.0%
023902   SILVERTON ISD,*,*,*,*,*,*,12,100.0%
019909   SIMMS ISD,*,*,*,*,19,47.5%,40,100.0%
205906   SINTON ISD,44,27.9%,36,22.8%,78,49.4%,158,100.0%
013905   SKIDMORE-TYNAN ISD,13,22.4%,18,31.0%,27,46.6%,58,100.0%
152903   SLATON ISD,11,13.8%,29,36.3%,40,50.0%,80,100.0%
249908   SLIDELL ISD,*,*,*,*,11,57.9%,19,100.0%
001909   SLOCUM ISD,*,*,*,*,10,40.0%,25,100.0%
011904   SMITHVILLE ISD,22,16.5%,32,24.1%,79,59.4%,133,100.0%
110906   SMYER ISD,,,17,70.8%,7,29.2%,24,100.0%
026903   SNOOK ISD,7,20.0%,12,34.3%,16,45.7%,35,100.0%
208902   SNYDER ISD,10,7.3%,68,49.3%,60,43.5%,138,100.0%
071909   SOCORRO ISD,847,26.7%,"1,044",32.9%,"1,286",40.5%,"3,177",100.0%
015909   SOMERSET ISD,37,14.2%,80,30.7%,144,55.2%,261,100.0%
026902   SOMERVILLE ISD,,,12,52.2%,11,47.8%,23,100.0%
218901   SONORA ISD,20,32.8%,6,9.8%,35,57.4%,61,100.0%
152803   SOUTH PLAINS ACADEMY CHARTER DISTR,,,8,8.7%,84,91.3%,92,100.0%
015908   SOUTH SAN ANTONIO ISD,78,15.8%,155,31.4%,260,52.7%,493,100.0%
031916   SOUTH TEXAS ISD,342,57.4%,104,17.5%,150,25.2%,596,100.0%
085903   SOUTHLAND ISD,,,8,57.1%,6,42.9%,14,100.0%
015917   SOUTHSIDE ISD,47,13.7%,96,27.9%,201,58.4%,344,100.0%
015912   SOUTHWEST ISD,78,9.4%,230,27.7%,522,62.9%,830,100.0%
015807   SOUTHWEST PREPARATORY SCHOOL,*,*,*,*,48,76.2%,63,100.0%
101838   SOUTHWEST SCHOOL,10,12.8%,21,26.9%,47,60.3%,78,100.0%
098904   SPEARMAN ISD,11,19.0%,18,31.0%,29,50.0%,58,100.0%
170907   SPLENDORA ISD,39,16.0%,41,16.8%,164,67.2%,244,100.0%
101920   SPRING BRANCH ISD,512,23.9%,362,16.9%,"1,269",59.2%,"2,143",100.0%
092907   SPRING HILL ISD,27,25.0%,42,38.9%,39,36.1%,108,100.0%
101919   SPRING ISD,418,20.7%,556,27.6%,"1,042",51.7%,"2,016",100.0%
140907   SPRINGLAKE-EARTH ISD,*,*,*,*,12,54.6%,22,100.0%
184902   SPRINGTOWN ISD,30,15.5%,60,31.1%,103,53.4%,193,100.0%
063903   SPUR ISD,5,35.7%,5,35.7%,*,*,14,100.0%
229905   SPURGER ISD,*,*,*,*,11,50.0%,22,100.0%
079910   STAFFORD MSD,67,29.5%,51,22.5%,109,48.0%,227,100.0%
127906   STAMFORD ISD,7,17.5%,8,20.0%,25,62.5%,40,100.0%
156902   STANTON ISD,6,14.6%,13,31.7%,22,53.7%,41,100.0%
072903   STEPHENVILLE ISD,81,37.0%,42,19.2%,96,43.8%,219,100.0%
216901   STERLING CITY ISD,*,*,*,*,6,28.6%,21,100.0%
247906   STOCKDALE ISD,13,22.8%,15,26.3%,29,50.9%,57,100.0%
211902   STRATFORD ISD,*,*,*,*,32,69.6%,46,100.0%
182905   STRAWN ISD,*,*,*,*,7,58.3%,12,100.0%
140908   SUDAN ISD,5,16.7%,15,50.0%,10,33.3%,30,100.0%
112910   SULPHUR BLUFF ISD,*,*,*,*,12,63.2%,19,100.0%
112901   SULPHUR SPRINGS ISD,43,18.5%,72,31.0%,117,50.4%,232,100.0%
110907   SUNDOWN ISD,6,17.7%,21,61.8%,7,20.6%,34,100.0%
057919   SUNNYVALE ISD,42,40.8%,19,18.5%,42,40.8%,103,100.0%
171902   SUNRAY ISD,6,14.3%,12,28.6%,24,57.1%,42,100.0%
020906   SWEENY ISD,22,18.3%,45,37.5%,53,44.2%,120,100.0%
177902   SWEETWATER ISD,24,18.6%,35,27.1%,70,54.3%,129,100.0%
205907   TAFT ISD,22,29.0%,11,14.5%,43,56.6%,76,100.0%
153904   TAHOKA ISD,8,20.5%,15,38.5%,16,41.0%,39,100.0%
146907   TARKINGTON ISD,17,14.1%,31,25.6%,73,60.3%,121,100.0%
201910   TATUM ISD,15,13.8%,45,41.3%,49,45.0%,109,100.0%
246911   TAYLOR ISD,46,17.6%,58,22.2%,157,60.2%,261,100.0%
081904   TEAGUE ISD,14,16.7%,29,34.5%,41,48.8%,84,100.0%
123803   TEKOA ACADEMY OF ACCELERATED STUDI,*,*,,,26,96.3%,27,100.0%
014909   TEMPLE ISD,55,11.1%,144,29.0%,298,60.0%,497,100.0%
210904   TENAHA ISD,5,15.6%,12,37.5%,15,46.9%,32,100.0%
022004   TERLINGUA CSD,*,*,,,6,75.0%,8,100.0%
222901   TERRELL COUNTY ISD,*,*,*,*,6,54.6%,11,100.0%
129906   TERRELL ISD,28,11.7%,64,26.7%,148,61.7%,240,100.0%
057804   TEXANS CAN ACADEMIES,16,0.8%,206,10.8%,"1,682",88.3%,"1,904",100.0%
019907   TEXARKANA ISD,66,15.1%,108,24.7%,264,60.3%,438,100.0%
084906   TEXAS CITY ISD,57,13.3%,126,29.4%,245,57.2%,428,100.0%
221801   TEXAS COLLEGE PREPARATORY ACADEMIE,39,19.6%,70,35.2%,90,45.2%,199,100.0%
226801   TEXAS LEADERSHIP,21,40.4%,7,13.5%,24,46.2%,52,100.0%
056902   TEXLINE ISD,*,*,*,*,7,70.0%,10,100.0%
227828   THE EXCEL CENTER,,,7,10.8%,58,89.2%,65,100.0%
227827   THE EXCEL CENTER (FOR ADULTS),,,8,12.1%,58,87.9%,66,100.0%
101868   THE PRO-VISION ACADEMY,8,18.2%,7,15.9%,29,65.9%,44,100.0%
166905   THORNDALE ISD,10,22.2%,13,28.9%,22,48.9%,45,100.0%
246912   THRALL ISD,16,28.1%,13,22.8%,28,49.1%,57,100.0%
149902   THREE RIVERS ISD,9,24.3%,9,24.3%,19,51.4%,37,100.0%
224901   THROCKMORTON ISD,*,*,*,*,8,61.5%,13,100.0%
158902   TIDEHAVEN ISD,5,8.8%,24,42.1%,28,49.1%,57,100.0%
210905   TIMPSON ISD,*,*,*,*,13,40.6%,32,100.0%
091907   TIOGA ISD,5,21.7%,5,21.7%,13,56.5%,23,100.0%
111903   TOLAR ISD,22,37.9%,13,22.4%,23,39.7%,58,100.0%
091918   TOM BEAN ISD,*,*,*,*,29,65.9%,44,100.0%
101921   TOMBALL ISD,178,22.3%,245,30.6%,377,47.1%,800,100.0%
071908   TORNILLO ISD,17,16.5%,26,25.2%,60,58.3%,103,100.0%
220801   TREETOPS SCHOOL INTERNATIONAL,,,*,*,5,62.5%,8,100.0%
221905   TRENT ISD,*,*,*,*,5,62.5%,8,100.0%
074912   TRENTON ISD,5,11.9%,13,31.0%,24,57.1%,42,100.0%
107907   TRINIDAD ISD,,,*,*,8,66.7%,12,100.0%
046802   TRINITY CHARTER SCHOOL,,,*,*,10,83.3%,12,100.0%
228903   TRINITY ISD,15,20.3%,13,17.6%,46,62.2%,74,100.0%
212904   TROUP ISD,6,8.5%,38,53.5%,27,38.0%,71,100.0%
014910   TROY ISD,23,21.9%,37,35.2%,45,42.9%,105,100.0%
219903   TULIA ISD,15,23.4%,10,15.6%,39,60.9%,64,100.0%
178912   TULOSO-MIDWAY ISD,82,25.9%,89,28.1%,146,46.1%,317,100.0%
096905   TURKEY-QUITAQUE ISD,*,*,*,*,6,40.0%,15,100.0%
212905   TYLER ISD,115,12.5%,347,37.7%,459,49.8%,921,100.0%
230908   UNION GROVE ISD,5,11.4%,23,52.3%,16,36.4%,44,100.0%
230904   UNION HILL ISD,*,*,*,*,6,33.3%,18,100.0%
240903   UNITED ISD,789,27.1%,"1,110",38.1%,"1,013",34.8%,"2,912",100.0%
057808   UNIVERSAL ACADEMY,*,*,*,*,6,42.9%,14,100.0%
227806   UNIVERSITY OF TEXAS UNIVERSITY CHA,*,*,*,*,39,69.6%,56,100.0%
057803   UPLIFT EDUCATION,179,38.5%,94,20.2%,192,41.3%,465,100.0%
232904   UTOPIA ISD,*,*,*,*,*,*,12,100.0%
232903   UVALDE CISD,24,10.5%,95,41.5%,110,48.0%,229,100.0%
122902   VALENTINE ISD,,,,,*,*,*,*
018904   VALLEY MILLS ISD,7,16.7%,21,50.0%,14,33.3%,42,100.0%
049903   VALLEY VIEW ISD,11,20.8%,21,39.6%,21,39.6%,53,100.0%
108916   VALLEY VIEW ISD,83,26.0%,93,29.2%,143,44.8%,319,100.0%
091908   VAN ALSTYNE ISD,16,16.3%,38,38.8%,44,44.9%,98,100.0%
234906   VAN ISD,20,11.5%,64,36.8%,90,51.7%,174,100.0%
158906   VAN VLECK ISD,12,18.5%,25,38.5%,28,43.1%,65,100.0%
108808   VANGUARD ACADEMY,10,20.4%,30,61.2%,9,18.4%,49,100.0%
180902   VEGA ISD,13,52.0%,5,20.0%,7,28.0%,25,100.0%
126908   VENUS ISD,18,17.1%,33,31.4%,54,51.4%,105,100.0%
226908   VERIBEST ISD,*,*,*,*,8,42.1%,19,100.0%
244903   VERNON ISD,15,13.0%,46,40.0%,54,47.0%,115,100.0%
235902   VICTORIA ISD,104,13.8%,266,35.2%,385,51.0%,755,100.0%
181907   VIDOR ISD,64,18.6%,72,20.9%,209,60.6%,345,100.0%
161914   WACO ISD,45,6.3%,259,36.3%,410,57.4%,714,100.0%
089905   WAELDER ISD,*,*,,,12,92.3%,13,100.0%
226906   WALL ISD,*,*,*,*,12,15.6%,77,100.0%
237904   WALLER ISD,80,20.8%,88,22.9%,216,56.3%,384,100.0%
018905   WALNUT SPRINGS ISD,,,5,25.0%,15,75.0%,20,100.0%
229904   WARREN ISD,10,12.5%,18,22.5%,52,65.0%,80,100.0%
102903   WASKOM ISD,12,18.2%,8,12.1%,46,69.7%,66,100.0%
226905   WATER VALLEY ISD,9,33.3%,5,18.5%,13,48.2%,27,100.0%
070801   WAXAHACHIE FAITH FAMILY ACADEMY,5,6.7%,21,28.0%,49,65.3%,75,100.0%
070912   WAXAHACHIE ISD,106,19.7%,171,31.8%,261,48.5%,538,100.0%
227803   WAYSIDE SCHOOLS,*,*,*,*,11,64.7%,17,100.0%
