Group,District,DistName,County,CntyName,Region,RegnName,Math,Reading,Writing,Total,Grads_Mskd,Exnees_Mskd,Part_Rate,Crit_Mskd,Above_Crit_Rate
All Students,043801,Imagine International Academy Of N,043,Collin County,10,Richardson,559,567,558,1126,22,25,100,13,52.0
All Students,043901,Allen ISD,043,Collin County,10,Richardson,553,539,516,1091,<1525,<1050,68.1,<475,45.5
All Students,043902,Anna ISD,043,Collin County,10,Richardson,460,474,444,934,188,81,43.1,12,14.8
All Students,043903,Celina ISD,043,Collin County,10,Richardson,549,515,498,1064,173,29,16.8,13,44.8
All Students,043904,Farmersville ISD,043,Collin County,10,Richardson,505,509,491,1013,77,29,37.7,7,24.1
All Students,043905,Frisco ISD,043,Collin County,10,Richardson,558,539,518,1097,2986,2026,67.8,956,47.2
All Students,043907,McKinney ISD,043,Collin County,10,Richardson,537,527,500,1064,1748,1093,62.5,445,40.7
All Students,043908,Melissa ISD,043,Collin County,10,Richardson,511,497,482,1007,122,44,36.1,8,18.2
All Students,043910,Plano ISD,043,Collin County,10,Richardson,586,550,532,1135,3948,2675,67.8,1487,55.6
All Students,043911,Princeton ISD,043,Collin County,10,Richardson,486,488,461,972,227,85,37.4,21,24.7
All Students,043912,Prosper ISD,043,Collin County,10,Richardson,550,529,507,1079,436,202,46.3,83,41.1
All Students,043914,Wylie ISD,043,Collin County,10,Richardson,507,493,464,1000,949,504,53.1,129,25.6
All Students,043917,Blue Ridge ISD,043,Collin County,10,Richardson,480,483,451,960,<50,<25,38.1,<25,12.5
All Students,043918,Community ISD,043,Collin County,10,Richardson,479,476,442,954,108,50,46.3,8,16.0
All Students,043919,Lovejoy ISD,043,Collin County,10,Richardson,576,560,531,1135,293,227,77.5,125,55.1
All Students,044902,Wellington ISD,044,Collingsworth County,16,Amarillo,,,,,<50,<25,2.3,<25,
All Students,045902,Columbus ISD,045,Colorado County,03,Victoria,459,446,433,904,<125,<50,40.7,<25,15.2
All Students,045903,Rice CISD,045,Colorado County,03,Victoria,434,424,438,864,<75,<25,6.8,<25,
All Students,045905,Weimar ISD,045,Colorado County,03,Victoria,443,448,406,884,<50,<25,45.0,<25,
All Students,046802,Trinity Charter School,046,Comal County,13,Austin,,,,,<25,<25,8.3,<25,
All Students,046901,New Braunfels ISD,046,Comal County,13,Austin,516,513,485,1028,587,313,53.3,96,30.7
All Students,046902,Comal ISD,046,Comal County,13,Austin,507,503,475,1010,1406,892,63.4,246,27.6
All Students,047901,Comanche ISD,047,Comanche County,14,Abilene,467,448,444,916,<100,<25,21.8,<25,15.8
All Students,047902,De Leon ISD,047,Comanche County,14,Abilene,498,470,439,970,<50,<25,22.2,<25,25.0
All Students,047903,Gustine ISD,047,Comanche County,14,Abilene,405,363,362,768,<25,<25,37.5,<25,
All Students,047905,Sidney ISD,047,Comanche County,14,Abilene,390,405,402,800,<25,<25,60.0,<25,
All Students,048903,Paint Rock ISD,048,Concho County,15,San Angelo,390,375,435,810,<25,<25,8.3,<25,
