Group,district,DistName,cntyname,RegnName,Region,Math,Reading,Writing,Total,Above_Crit_Rate,Exnees_Mskd,Crit_Mskd,Part_Rate,Grads_Mskd
All Students,39902,Henrietta ISD,Clay County,Wichita Falls,9,499,497,463,996,21.1,38,8,50.7,75
All Students,39904,Bellevue ISD,Clay County,Wichita Falls,9,533,543,540,1077,,<5,<5,,12
All Students,39905,Midway ISD,Clay County,Wichita Falls,9,,,,,,<5,<5,,9
All Students,40901,Morton ISD,Cochran County,Lubbock,17,,,,,,<5,<5,,20
All Students,40902,Whiteface CISD,Cochran County,Lubbock,17,623,603,630,1227,,<5,<5,,16
All Students,41901,Bronte ISD,Coke County,San Angelo,15,,,,,,<5,<5,,19
All Students,41902,Robert Lee ISD,Coke County,San Angelo,15,423,373,400,797,,<5,<5,,17
All Students,42901,Coleman ISD,Coleman County,San Angelo,15,,,,,,<5,<5,,51
All Students,42903,Santa Anna ISD,Coleman County,San Angelo,15,483,470,458,953,,<5,<5,,20
All Students,43901,Allen ISD,Collin County,Richardson,10,566,539,514,1104,49.6,914,453,70.3,1300
All Students,43902,Anna ISD,Collin County,Richardson,10,493,483,469,976,13.2,68,9,43.9,155
All Students,43903,Celina ISD,Collin County,Richardson,10,530,488,464,1018,,17,<5,11.5,148
All Students,43904,Farmersville ISD,Collin County,Richardson,10,494,478,471,972,18.9,37,7,39.4,94
All Students,43905,Frisco ISD,Collin County,Richardson,10,552,526,509,1078,42.2,1436,606,64.3,2234
All Students,43907,McKinney ISD,Collin County,Richardson,10,547,532,511,1079,45.8,980,449,62.7,1562
All Students,43908,Melissa ISD,Collin County,Richardson,10,551,506,494,1057,32.6,43,14,47.3,91
All Students,43910,Plano ISD,Collin County,Richardson,10,593,555,541,1149,56.9,2682,1525,70.5,3802
All Students,43911,Princeton ISD,Collin County,Richardson,10,511,487,474,998,29.2,72,21,34.4,209
All Students,43912,Prosper ISD,Collin County,Richardson,10,554,516,506,1070,46.9,177,83,63.7,278
All Students,43914,Wylie ISD,Collin County,Richardson,10,529,497,473,1026,32.1,386,124,48.1,802
All Students,43917,Blue Ridge ISD,Collin County,Richardson,10,480,454,434,934,,29,<5,61.7,47
All Students,43918,Community ISD,Collin County,Richardson,10,515,499,458,1014,23.2,56,13,44.8,125
All Students,43919,Lovejoy ISD,Collin County,Richardson,10,576,551,522,1127,55.3,228,126,83.2,274
All Students,44902,Wellington ISD,Collingsworth County,Amarillo,16,,,,,,<5,<5,,31
All Students,45902,Columbus ISD,Colorado County,Victoria,3,480,448,420,928,12,75,9,61,123
All Students,45903,Rice CISD,Colorado County,Victoria,3,502,426,426,928,,17,<5,18.3,93
All Students,45905,Weimar ISD,Colorado County,Victoria,3,489,438,432,928,,37,<10,74,50
All Students,46802,Trinity Charter School,Comal County,Austin,13,,,,,,<5,<5,,<5
All Students,46901,New Braunfels ISD,Comal County,Austin,13,521,507,481,1027,33.7,329,111,59.3,555
All Students,46902,Comal ISD,Comal County,Austin,13,516,498,479,1014,28.2,805,227,65.3,1232
All Students,47901,Comanche ISD,Comanche County,Abilene,14,491,476,462,967,15.2,46,7,59.7,77
All Students,47902,De Leon ISD,Comanche County,Abilene,14,500,473,443,973,,16,<5,47.1,34
All Students,47903,Gustine ISD,Comanche County,Abilene,14,,,,,,<5,<5,,11
All Students,47905,Sidney ISD,Comanche County,Abilene,14,444,404,434,848,,8,<5,88.9,9
All Students,48903,Paint Rock ISD,Concho County,San Angelo,15,,,,,,<5,<5,,17
All Students,49901,Gainesville ISD,Cooke County,Fort Worth,11,500,475,451,975,27.3,33,9,22.8,145
All Students,49902,Muenster ISD,Cooke County,Fort Worth,11,559,482,471,1040,,<25,6,,34
All Students,49903,Valley View ISD,Cooke County,Fort Worth,11,475,479,444,954,,22,<5,53.7,41
All Students,49905,Callisburg ISD,Cooke County,Fort Worth,11,496,480,438,977,,32,<5,40.5,79
All Students,49906,Era ISD,Cooke County,Fort Worth,11,540,566,504,1106,,<10,<5,,33
All Students,49907,Lindsay ISD,Cooke County,Fort Worth,11,579,515,498,1095,27.3,22,6,59.5,37
All Students,50901,Evant ISD,Coryell County,Waco,12,,,,,,<5,<5,,16
All Students,50902,Gatesville ISD,Coryell County,Waco,12,482,442,425,923,,12,<5,6.3,191
All Students,50904,Oglesby ISD,Coryell County,Waco,12,437,449,423,886,,7,<5,58.3,12
All Students,50910,Copperas Cove ISD,Coryell County,Waco,12,482,468,449,950,15.7,287,45,56.3,510
All Students,52901,Crane ISD,Crane County,Midland,18,538,460,453,998,,6,<5,9.8,61
All Students,53001,Crockett County Consolidated CSD,Crockett County,San Angelo,15,480,462,408,942,,6,<5,14,43
All Students,54902,Lorenzo ISD,Crosby County,Lubbock,17,430,437,453,867,,<5,<5,,13
All Students,54903,Ralls ISD,Crosby County,Lubbock,17,481,447,425,928,,10,<5,30.3,33
All Students,55901,Culberson County-Allamoore ISD,Culberson County,Midland,18,527,463,400,990,,<5,<5,,38
All Students,56901,Dalhart ISD,Dallam County,Amarillo,16,613,557,520,1170,,<5,<5,,100
All Students,57802,Pegasus School Of Liberal Arts And,Dallas County,Richardson,10,444,376,388,820,,25,<5,100,25
All Students,57803,Uplift Education - North Hills Pre,Dallas County,Richardson,10,599,570,572,1169,66.1,109,72,106.9,102
All Students,57804,Dallas Can Academy Charter,Dallas County,Richardson,10,385,367,360,752,,26,<5,3.1,848
All Students,57806,Advantage Academy,Dallas County,Richardson,10,411,382,367,793,,16,<5,38.1,42
All Students,57807,Life School,Dallas County,Richardson,10,438,426,416,864,,88,<5,70.4,125
All Students,57808,Universal Academy,Dallas County,Richardson,10,445,425,411,869,,11,<5,61.1,18
All Students,57815,Faith Family Academy Of Oak Cliff,Dallas County,Richardson,10,396,372,366,768,,13,<5,28.9,45
All Students,57825,Honors Academy,Dallas County,Richardson,10,404,428,384,832,,5,<5,55.6,9
All Students,57828,Winfree Academy Charter Schools,Dallas County,Richardson,10,489,493,430,982,25.9,27,7,7.1,379
All Students,57829,A+ Academy,Dallas County,Richardson,10,403,370,380,774,,53,<5,86.9,61
All Students,57831,Gateway Charter Academy,Dallas County,Richardson,10,397,368,372,765,,35,<5,87.5,40
All Students,57832,Alpha Charter School,Dallas County,Richardson,10,,,,,,<5,<5,,24
All Students,57834,Evolution Academy Charter School,Dallas County,Richardson,10,434,444,411,879,,9,<5,6.5,138
All Students,57838,Uplift Education - Peak Preparator,Dallas County,Richardson,10,491,431,442,922,9.5,74,7,,<75
All Students,57840,Richland Collegiate High School,Dallas County,Richardson,10,548,533,522,1081,45,189,85,99.5,190
All Students,57842,Uplift Education - Williams Prepar,Dallas County,Richardson,10,466,421,431,888,10.4,77,8,,<50
All Students,57843,Uplift Education - Hampton Prepara,Dallas County,Richardson,10,428,410,416,838,,43,<5,116.2,37
All Students,57903,Carrollton-Farmers Branch ISD,Dallas County,Richardson,10,508,483,469,990,27.6,944,261,56.5,1671
All Students,57904,Cedar Hill ISD,Dallas County,Richardson,10,454,446,424,900,9.8,315,31,53.3,591
All Students,57905,Dallas ISD,Dallas County,Richardson,10,442,414,404,856,9.9,4980,493,64.6,7706
All Students,57906,Desoto ISD,Dallas County,Richardson,10,433,418,410,851,5.3,319,17,56.7,563
All Students,57907,Duncanville ISD,Dallas County,Richardson,10,463,462,443,925,15.2,310,47,38.9,797
All Students,57909,Garland ISD,Dallas County,Richardson,10,494,476,456,970,22.5,1753,395,44.5,3940
All Students,57910,Grand Prairie ISD,Dallas County,Richardson,10,471,446,427,917,15.9,805,128,49.1,1640
All Students,57911,Highland Park ISD,Dallas County,Richardson,10,617,588,575,1205,,397,<290,83.8,474
All Students,57912,Irving ISD,Dallas County,Richardson,10,432,402,404,834,9.4,1678,158,83.5,2010
All Students,57913,Lancaster ISD,Dallas County,Richardson,10,394,394,380,788,,210,<5,60.3,348
All Students,57914,Mesquite ISD,Dallas County,Richardson,10,465,442,430,908,14.3,1192,171,47.9,2490
All Students,57916,Richardson ISD,Dallas County,Richardson,10,540,505,485,1046,38.1,1323,504,65.3,2025
All Students,57919,Sunnyvale ISD,Dallas County,Richardson,10,518,476,472,993,26.4,72,19,84.7,85
All Students,57922,Coppell ISD,Dallas County,Richardson,10,589,553,542,1142,54.7,693,379,88.7,781
All Students,58902,Dawson ISD,Dawson County,Lubbock,17,420,348,352,768,,5,<5,62.5,8
All Students,58905,Klondike ISD,Dawson County,Lubbock,17,,,,,,<5,<5,,19
All Students,59901,Hereford ISD,Deaf Smith County,Amarillo,16,507,517,510,1023,,<5,<5,,246
All Students,60902,Cooper ISD,Delta County,Mt Pleasant,8,,,,,,<5,<5,,51
All Students,61501,University Of North Texas,Denton County,Fort Worth,11,731,674,683,1404,,163,<165,,<5
All Students,61802,Texas Education Centers,Denton County,Fort Worth,11,438,478,430,915,,<5,<5,,36
All Students,61901,Denton ISD,Denton County,Fort Worth,11,503,498,475,1001,27.9,728,203,53.4,1364
All Students,61902,Lewisville ISD,Denton County,Fort Worth,11,563,530,518,1094,46.3,2421,1120,67.7,3577
All Students,61903,Pilot Point ISD,Denton County,Fort Worth,11,490,468,460,957,15.2,46,7,44.2,104
